id_patrulheiro,nivel,tempo_jogo_horas,medalhas_pt,raca,quest_sucess,ki_maximo,stamina_maxima,mentor_atual
PT-0070,300.0,163.2,,Frieza,33.56,94.0,101.0,whis
PT-0071,44.0,84.3,1167.0,Human,29.37,105.0,149.0,hercule
PT-0072,47.0,143.4,524.0,Saiyan,33.55,102.0,0.0,yamcha
PT-0073,52.0,88.0,524.0,Human,42.3,96.0,46.0,gotenks
PT-0074,80.0,251.5,252.0,Human,43.36,160.0,148.0,dodoria   
PT-0075,73.0,215.8,523.0,  Saiyan   ,39.51,45.0,60.0,cell
PT-0076,84.0,258.6,248.0,Namekian,46.16,91.0,120.0,cell
PT-0077,61.0,133.5,1004.0,Human,35.47,45.0,98.0,broly
PT-0078,73.0,243.0,2532.0,Human ,44.76,21.0,131.0,majin buu
PT-0079,83.0,140.0,659.0,Namekian,48.42,70.0,165.0,gotenks
PT-0080,64.0,74.8,337.0,Human,51.11,156.0,88.0,nappa
PT-0081,79.0,210.2,108.0,Saiyan,43.68,86.0,15.0,gohan (future)
PT-0082,57.0,132.0,179.0,Saiyan,39.94,155.0,42.0,android 16
PT-0083,63.0,85.5,1253.0,   Saiyan ,40.84,164.0,162.0,hercule
PT-0084,62.0,126.6,266.0,Saiyan,51.27,199.0,17.0,turles
PT-0085,46.0,111.0,394.0,  Saiyan,37.17,143.0,82.0,yamcha   
PT-0086,80.0,131.9,730.0,Human,60.41,188.0,0.0,nappa
PT-0087,,85.4,1199.0,Saiyan,35.18,92.0,19.0,gotenks
PT-0088,70.0,218.6,437.0,Saiyan,47.61,95.0,114.0,whis
PT-0089,80.0,185.3,387.0,Human,47.39,106.0,87.0, majin buu  
PT-0090,79.0,251.0,514.0,Saiyan,41.79,93.0,70.0,dodoria
PT-0091,83.0,300.6,338.0,Human,52.66,102.0,56.0,raditz
PT-0092,68.0,118.9,349.0,Human,61.06,114.0,0.0,captain ginyu
PT-0093,,180.2,631.0,Saiyan,37.98,61.0,101.0,vegeta
PT-0094,68.0,158.1,551.0,Saiyan,46.18,29.0,66.0,broly
PT-0095,36.0,101.5,1770.0,Human,23.9,73.0,0.0,frieza
PT-0096,,78.6,641.0,Saiyan,24.73,35.0,60.0,vegeta  
PT-0097,44.0,62.5,983.0,,31.3,42.0,84.0, captain ginyu   
PT-0098,50.0,90.1,259.0,Majin,36.4,64.0,57.0,pan
PT-0099,78.0,212.6,675.0,Human,47.96,78.0,89.0,  android 18
PT-0100,52.0,170.9,,Saiyan,38.99,116.0,68.0,raditz
PT-0101,62.0,189.1,625.0,Frieza,31.61,73.0,45.0,captain ginyu
PT-0102,96.0,247.4,745.0,Saiyan,53.39,153.0,99.0,dodoria
PT-0103,63.0,223.8,508.0,Namekian,49.21,89.0,,gohan (kid)
PT-0104,85.0,267.1,2089.0,,43.13,94.0,131.0,lord slug
PT-0105,51.0,102.2,1161.0,Saiyan,37.56,77.0,97.0,raditz
PT-0106,66.0,219.3,999.0,Saiyan,48.74,31.0,,dodoria
PT-0107,51.0,109.2,779.0,Saiyan,34.14,84.0,91.0,zarbon   
PT-0108,63.0,85.5,1419.0,Frieza,47.93,114.0,93.0,dodoria
PT-0109,87.0,214.2,208.0,Saiyan,42.63,139.0,63.0,frieza
PT-0110,35.0,126.2,1121.0,Namekian,41.11,4.0,,cell
PT-0111,79.0,147.0,272.0,Human,54.53,32.0,112.0,yamcha
PT-0112,75.0,197.6,351.0,Human,50.45,69.0,138.0,gohan (kid)
PT-0113,58.0,139.2,690.0,Human,52.2,132.0,0.0,hercule
PT-0114,41.0,65.3,1033.0,Saiyan,33.77,72.0,124.0,whis
PT-0115,,97.8,247.0,Saiyan,43.46,56.0,126.0,krillin
PT-0116,59.0,154.1,362.0,   Frieza ,54.58,19.0,79.0,tien
PT-0117,75.0,253.8,522.0,Saiyan,64.73,,73.0,pan
PT-0118,70.0,124.2,441.0,   Frieza,42.45,56.0,95.0,  yamcha   
PT-0119,102.0,225.0,823.0,Frieza,59.89,149.0,76.0,bardock
PT-0120,65.0,114.8,3872.0,Saiyan,54.36,123.0,68.0,gotenks
PT-0121,50.0,90.1,,Human,39.37,28.0,6.0,yamcha
PT-0122,74.0,190.5,317.0,Saiyan,54.36,119.0,12.0,tien
PT-0123,74.0,203.6,226.0,Human,55.84,115.0,175.0,bardock
PT-0124,97.0,265.2,405.0,Frieza,54.3,60.0,,raditz
PT-0125,87.0,180.1,280.0,Namekian,58.15,96.0,99.0,frieza
PT-0126,77.0,230.8,652.0,,50.75,105.0,83.0,  raditz 
PT-0127,99.0,165.7,646.0,Saiyan,49.87,116.0,66.0,cooler
PT-0128,46.0,92.9,373.0,  Human,30.48,0.0,50.0,gotenks
PT-0129,57.0,183.7,1621.0,Saiyan,37.58,,74.0,android 16
PT-0130,51.0,138.4,317.0,Namekian,47.83,96.0,58.0,krillin
PT-0131,62.0,203.9,459.0,Saiyan,52.49,143.0,43.0,cooler 
PT-0132,,156.5,723.0,,42.8,37.0,79.0,android 16
PT-0133,83.0,224.5,842.0,Saiyan,56.72,75.0,96.0,  piccolo   
PT-0134,66.0,208.5,1061.0,Saiyan,49.7,74.0,92.0,majin buu
PT-0135,41.0,98.0,637.0,Saiyan,38.62,74.0,87.0,   android 18
PT-0136,50.0,82.8,926.0,Saiyan,43.26,74.0,58.0,krillin   
PT-0137,76.0,148.2,331.0,  Namekian,54.2,115.0,76.0,jaco
PT-0138,87.0,154.9,855.0,Majin,43.56,55.0,150.0,zarbon
PT-0139,110.0,195.6,848.0,Saiyan,57.68,134.0,69.0,raditz
PT-0140,128.0,292.8,1221.0,Majin,62.97,103.0,45.0,tien
PT-0141,78.0,209.1,181.0,Saiyan,60.06,87.0,107.0,vegeta
PT-0142,50.0,139.6,286.0,Majin ,53.23,138.0,40.0,gohan (kid)
PT-0143,27.0,56.1,807.0,Saiyan,20.0,0.0,6.0,gohan (kid)
PT-0144,-1.0,114.5,100.0,Human,62.52,79.0,118.0,   hercule
PT-0145,54.0,173.7,662.0,Saiyan,42.29,22.0,62.0,android 18
PT-0146,62.0,141.3,931.0,Saiyan,52.9,86.0,23.0,yamcha
PT-0147,58.0,89.7,349.0,   Human ,47.25,118.0,148.0,cell
PT-0148,67.0,99.2,381.0,Majin,58.32,90.0,12.0,lord slug
PT-0149,91.0,227.5,259.0,Majin,58.08,98.0,90.0,captain ginyu
PT-0150,-1.0,136.1,360.0,Saiyan,38.29,142.0,6.0,zamasu
PT-0151,67.0,240.1,367.0,Human,45.95,97.0,88.0,gohan (kid)
PT-0152,250.0,126.2,327.0,Majin,43.73,102.0,39.0,tien
PT-0153,37.0,94.8,317.0,Saiyan,33.07,88.0,89.0,krillin
PT-0154,60.0,73.6,419.0,Saiyan,49.26,0.0,71.0,nappa
PT-0155,69.0,220.4,416.0,Saiyan,47.07,82.0,132.0,captain ginyu
PT-0156,105.0,283.2,1517.0,Saiyan,57.24,71.0,86.0,tien
PT-0157,73.0,121.9,389.0,Saiyan,40.51,55.0,17.0,frieza
PT-0158,90.0,231.1,606.0,Saiyan,52.87,161.0,103.0,beerus
PT-0159,60.0,159.7,349.0,Human,45.64,63.0,62.0,   hercule  
PT-0160,46.0,120.1,,Human,22.72,143.0,0.0,android 16
PT-0161,51.0,115.1,177.0,Majin,34.16,14.0,23.0,android 16
PT-0162,55.0,129.2,192.0,Human,26.03,31.0,39.0,lord slug
PT-0163,113.0,195.4,239.0,Saiyan ,60.26,151.0,171.0,dodoria
PT-0164,54.0,79.4,550.0,Frieza,51.18,60.0,96.0,vegeta
PT-0165,87.0,148.5,940.0,Majin,45.31,112.0,77.0,   gohan (kid)
PT-0166,52.0,169.4,931.0,Human,46.43,67.0,85.0, tien
PT-0167,89.0,191.2,354.0,Saiyan,78.39,95.0,11.0,  frieza  
PT-0168,78.0,187.7,217.0,Human,62.83,80.0,62.0,dodoria
PT-0169,67.0,158.5,420.0,Human,47.87,91.0,93.0,yamcha
PT-0170,,214.8,940.0,Human,54.47,111.0,85.0,raditz
PT-0171,57.0,164.7,377.0,Majin ,31.84,140.0,48.0,hercule
PT-0172,250.0,263.1,479.0,Frieza,39.01,85.0,84.0,raditz
PT-0173,61.0,123.2,1180.0,Frieza,44.63,63.0,86.0,   zarbon
PT-0174,,67.2,,,41.19,45.0,,yamcha
PT-0175,44.0,106.5,312.0,  Frieza,46.36,124.0,95.0,piccolo
PT-0176,73.0,186.1,542.0,Frieza,44.65,116.0,94.0,majin buu
PT-0177,102.0,321.2,300.0,   Saiyan,62.35,36.0,122.0,tien
PT-0178,73.0,240.5,634.0, Human,50.47,11.0,150.0,gohan (kid)
PT-0179,68.0,162.3,671.0,Saiyan,46.15,51.0,111.0,bardock
PT-0180,76.0,298.3,217.0,Saiyan,49.82,100.0,153.0,dodoria
PT-0181,96.0,269.8,547.0,Saiyan,51.56,105.0,70.0,cooler
PT-0182,74.0,140.3,459.0,Human,51.84,110.0,18.0,android 18
PT-0183,,149.5,683.0,Saiyan,46.36,73.0,68.0,piccolo
PT-0184,92.0,141.7,811.0,Saiyan,53.28,159.0,85.0,vegeta
PT-0185,79.0,247.7,,Saiyan,56.93,124.0,144.0,vegeta
PT-0186,101.0,161.5,411.0,Human,68.62,114.0,55.0,raditz
PT-0187,74.0,163.3,7994.0,Namekian  ,55.02,135.0,79.0,raditz
PT-0188,46.0,142.8,292.0,Frieza,30.06,1.0,78.0,cooler
PT-0189,43.0,48.5,223.0,Saiyan,38.0,61.0,64.0,tien
PT-0190,103.0,153.9,72.0,Saiyan,53.91,118.0,95.0,yamcha
PT-0191,104.0,293.5,472.0,Namekian,62.37,137.0,117.0,frieza
PT-0192,66.0,101.9,301.0,Saiyan,39.14,14.0,119.0,zarbon
PT-0193,62.0,182.1,626.0,Frieza,55.02,69.0,135.0,android 18
PT-0194,99.0,230.6,151.0,Majin,65.87,125.0,101.0, krillin 
PT-0195,48.0,108.1,334.0,Human,48.42,87.0,31.0,cell
PT-0196,52.0,93.7,653.0,Saiyan,49.21,119.0,128.0,turles
PT-0197,83.0,246.9,266.0,Saiyan   ,51.04,127.0,45.0,captain ginyu
PT-0198,62.0,189.2,630.0,Human  ,41.4,77.0,145.0,gotenks
PT-0199,70.0,136.4,353.0,Saiyan,61.93,113.0,133.0,vegeta
PT-0200,67.0,236.5,483.0,Namekian,45.48,76.0,136.0,tien
PT-0201,77.0,226.4,704.0,,39.96,97.0,111.0,vegeta 
PT-0202,98.0,269.6,,Saiyan,67.26,140.0,14.0,zarbon
PT-0203,72.0,208.1,521.0,Saiyan,49.95,86.0,39.0,  turles
PT-0204,83.0,243.9,302.0,   Human   ,65.25,111.0,100.0,nappa
PT-0205,29.0,104.4,374.0,Saiyan,33.54,92.0,23.0,gohan (kid)
PT-0206,69.0,148.2,,Human,47.44,114.0,66.0,broly
PT-0207,53.0,147.1,267.0,   Human ,53.41,122.0,92.0,raditz
PT-0208,46.0,98.5,443.0,Majin,26.09,160.0,55.0,android 18
PT-0209,52.0,73.1,,Saiyan,36.12,100.0,18.0,nappa
PT-0210,63.0,147.0,463.0,Saiyan,38.1,62.0,110.0,jaco
PT-0211,88.0,135.9,2286.0,Namekian,37.64,121.0,112.0,piccolo
PT-0212,999.0,109.9,162.0,Human,44.19,83.0,50.0,lord slug
PT-0213,71.0,145.0,673.0,Majin,43.94,111.0,108.0,frieza 
PT-0214,60.0,118.2,879.0,Human,51.24,138.0,76.0,bardock
PT-0215,63.0,204.4,168.0,Namekian,48.31,13.0,127.0,bojack
PT-0216,90.0,247.5,615.0,Saiyan,60.86,163.0,99.0,hercule
PT-0217,81.0,204.0,944.0,,48.76,169.0,140.0,tien
PT-0218,97.0,156.2,705.0,Majin   ,52.69,130.0,23.0,dodoria
PT-0219,67.0,150.9,384.0,Saiyan,47.52,107.0,95.0,turles
PT-0220,56.0,113.3,280.0,Majin,49.75,65.0,53.0,android 18
PT-0221,66.0,163.2,517.0,Saiyan,46.0,83.0,42.0,broly
PT-0222,75.0,218.7,572.0,  Saiyan   ,44.38,118.0,129.0,gohan (adult) and videl
PT-0223,74.0,174.1,522.0,Saiyan,40.01,115.0,117.0,gohan (kid)
PT-0224,48.0,106.7,,Namekian,40.83,97.0,0.0,piccolo
PT-0225,72.0,229.4,257.0,Majin,44.37,,109.0,nappa
PT-0226,75.0,222.9,635.0,Saiyan,49.43,126.0,106.0,cell
PT-0227,120.0,325.7,654.0,Saiyan,66.09,157.0,85.0,  dodoria
PT-0228,108.0,296.9,556.0,Saiyan,59.64,75.0,72.0,krillin
PT-0229,53.0,57.4,527.0,,43.55,106.0,3.0,lord slug
PT-0230,64.0,211.3,1350.0,Majin,50.04,156.0,61.0,krillin 
PT-0231,41.0,72.2,339.0,  Saiyan,52.12,62.0,52.0,   vegeta
PT-0232,58.0,131.5,1063.0,Saiyan,49.26,136.0,102.0,dodoria
PT-0233,76.0,270.2,317.0,Saiyan,63.15,54.0,94.0,captain ginyu
PT-0234,94.0,266.6,959.0,Human,51.05,104.0,53.0, yamcha
PT-0235,-1.0,88.8,1033.0,Human,29.19,48.0,78.0,majin buu
PT-0236,57.0,85.4,413.0,Human,42.68,131.0,60.0,  turles   
PT-0237,27.0,66.1,1335.0,Human ,37.66,117.0,12.0,cell
PT-0238,67.0,189.1,,Frieza,52.41,80.0,13.0,jaco
PT-0239,999.0,90.6,291.0,Human,49.29,116.0,89.0,raditz
PT-0240,59.0,158.6,394.0,Namekian,23.31,143.0,89.0,yamcha
PT-0241,52.0,174.4,972.0,Human,50.82,70.0,89.0,  tien  
PT-0242,68.0,207.5,857.0,Saiyan,49.88,90.0,48.0,lord slug
PT-0243,35.0,115.6,261.0,Majin,21.65,87.0,61.0,yamcha
PT-0244,41.0,57.7,453.0,Human,42.19,29.0,4.0,pan
PT-0245,,179.3,,Human,66.56,125.0,70.0,cooler
PT-0246,44.0,112.9,363.0,Saiyan,40.65,151.0,62.0,gohan (adult) and videl
PT-0247,48.0,107.4,2028.0,Saiyan,47.19,48.0,74.0,zarbon
PT-0248,107.0,182.5,567.0,Namekian,66.24,150.0,40.0,lord slug  
PT-0249,128.0,260.2,475.0,,59.42,153.0,77.0,zarbon
PT-0250,47.0,72.2,1007.0,Saiyan,37.66,61.0,48.0,frieza
PT-0251,63.0,110.1,396.0,Saiyan,32.26,89.0,112.0,hercule
PT-0252,77.0,208.2,902.0,Human,55.99,162.0,51.0,raditz
PT-0253,105.0,326.3,181.0,   Namekian ,73.18,136.0,109.0,broly
PT-0254,50.0,148.1,375.0,Human,30.07,98.0,75.0,lord slug
PT-0255,65.0,178.5,925.0,Frieza,40.63,146.0,66.0,majin buu
PT-0256,250.0,193.2,1264.0,Human,47.34,87.0,101.0,raditz
PT-0257,79.0,267.8,310.0, Saiyan ,47.97,51.0,32.0,tien
PT-0258,62.0,134.0,289.0,   Saiyan,48.1,150.0,47.0,tien
PT-0259,67.0,133.8,693.0,Saiyan,43.26,89.0,134.0,android 18
PT-0260,43.0,146.7,339.0,Majin,42.42,100.0,,yamcha
PT-0261,65.0,159.0,419.0,Saiyan ,54.52,52.0,109.0,   nenhum   
PT-0262,65.0,97.5,834.0,Saiyan   ,54.81,98.0,120.0,goku
PT-0263,75.0,146.3,356.0,Namekian,41.05,46.0,9.0,krillin
PT-0264,59.0,144.6,152.0,  Human ,54.69,80.0,33.0,lord slug 
PT-0265,79.0,154.1,226.0,   Saiyan,63.33,67.0,73.0,raditz
PT-0266,90.0,226.1,496.0,Majin,68.42,67.0,190.0,nappa
PT-0267,73.0,231.6,161.0,Human,47.94,76.0,69.0,raditz
PT-0268,77.0,158.4,412.0,Namekian,44.79,0.0,114.0,gotenks
PT-0269,71.0,193.2,214.0,Human,40.53,40.0,95.0,beerus
PT-0270,70.0,160.9,1318.0,,39.19,117.0,93.0,krillin
PT-0271,56.0,164.8,1806.0,Saiyan,42.49,89.0,68.0,gohan (kid)
PT-0272,76.0,140.0,261.0,Saiyan,57.18,48.0,35.0,zarbon
PT-0273,68.0,138.4,575.0,Majin,57.65,106.0,0.0,captain ginyu
PT-0274,112.0,268.2,277.0,Human,60.92,84.0,160.0,tien 
PT-0275,101.0,289.4,409.0,Majin,60.09,,76.0,gotenks
PT-0276,78.0,238.2,1454.0,Human,50.37,88.0,10.0,pan  
PT-0277,55.0,146.4,372.0,Saiyan,36.92,61.0,86.0,vegeta
PT-0278,48.0,121.8,415.0,Saiyan,45.09,65.0,80.0,turles
PT-0279,94.0,236.0,,Saiyan,60.5,200.0,127.0,android 16
PT-0280,75.0,105.8,,Saiyan,51.13,60.0,127.0,cooler
PT-0281,80.0,154.0,70.0,  Human ,54.87,103.0,49.0,gohan (adult) and videl
PT-0282,35.0,45.9,378.0,Frieza,38.92,89.0,20.0,dodoria
PT-0283,,182.7,479.0,Saiyan,60.44,63.0,80.0, frieza
PT-0284,79.0,215.0,331.0,Human,44.89,29.0,118.0,gohan (kid)
PT-0285,48.0,121.1,827.0,Saiyan,46.37,44.0,0.0,cell
PT-0286,61.0,163.0,,Majin,46.44,109.0,78.0,yamcha
PT-0287,,196.0,211.0,Saiyan,46.52,76.0,120.0,raditz 
PT-0288,71.0,198.4,1730.0,Human,50.27,78.0,115.0,   dodoria
PT-0289,64.0,181.2,210.0,Saiyan,48.36,118.0,103.0,vegeta
PT-0290,68.0,135.3,1068.0,   Saiyan,55.85,52.0,120.0,raditz
PT-0291,65.0,156.1,539.0,Human,37.63,78.0,0.0,piccolo
PT-0292,73.0,184.5,364.0,Saiyan,59.8,28.0,146.0,   turles  
PT-0293,99.0,288.9,385.0,Human,59.79,122.0,113.0,cooler
PT-0294,250.0,35.7,483.0,Saiyan,23.55,54.0,97.0,vegeta
PT-0295,65.0,140.7,558.0,Frieza,41.71,114.0,29.0,   gotenks 
PT-0296,74.0,225.1,284.0,Saiyan,41.59,43.0,12.0,gotenks
PT-0297,76.0,212.8,428.0,Human,36.47,83.0,155.0,tien
PT-0298,63.0,107.0,310.0,  Namekian,50.62,29.0,37.0,frieza
PT-0299,35.0,82.9,238.0,Human,49.85,48.0,42.0,gohan (kid) 
PT-0300,77.0,266.4,302.0,Saiyan,37.86,151.0,105.0,frieza
PT-0301,105.0,155.2,247.0,Human,54.4,101.0,134.0,lord slug
PT-0302,39.0,123.3,383.0,Saiyan,41.61,7.0,100.0,krillin
PT-0303,87.0,159.0,639.0,Human  ,54.43,72.0,100.0,captain ginyu
PT-0304,63.0,171.4,530.0,Saiyan ,51.88,16.0,32.0,gohan (kid)
PT-0305,69.0,160.6,1611.0,,46.79,33.0,107.0,captain ginyu
PT-0306,49.0,101.6,131.0,   Namekian,34.95,,93.0,tien
PT-0307,63.0,207.5,653.0,Saiyan,43.39,23.0,1.0,gohan (adult) and videl
PT-0308,96.0,227.8,495.0,Saiyan,39.34,119.0,154.0,frieza
PT-0309,82.0,276.9,804.0,Saiyan,43.65,97.0,0.0,piccolo
PT-0310,105.0,198.0,757.0,Human,69.59,93.0,145.0,majin buu
PT-0311,94.0,288.3,446.0,Saiyan,67.14,114.0,70.0,krillin
PT-0312,79.0,256.3,547.0,Human,62.85,56.0,114.0,cooler
PT-0313,105.0,291.5,315.0,Human ,65.53,148.0,124.0,captain ginyu  
PT-0314,79.0,150.0,712.0,Frieza,33.55,65.0,84.0,krillin
PT-0315,87.0,242.5,160.0,Saiyan ,49.72,84.0,109.0,raditz
PT-0316,64.0,184.7,785.0,Saiyan,56.2,61.0,71.0,tien
PT-0317,71.0,263.9,486.0,Saiyan,61.38,114.0,108.0,lord slug
PT-0318,56.0,152.0,368.0,Human ,53.3,97.0,157.0,cell
PT-0319,90.0,170.5,,Saiyan,54.11,0.0,39.0,  tien 
PT-0320,46.0,74.3,448.0,   Saiyan,27.95,77.0,0.0,tien
PT-0321,86.0,276.4,1073.0,Saiyan,54.07,,74.0,broly
PT-0322,66.0,231.2,3429.0,Majin,46.52,69.0,57.0,piccolo
PT-0323,93.0,140.8,1024.0,Frieza,69.72,100.0,80.0,gohan (kid)
PT-0324,85.0,264.2,351.0,Saiyan,55.82,84.0,52.0,cell 
PT-0325,106.0,370.6,719.0,Saiyan,62.53,135.0,139.0,tien
PT-0326,85.0,131.6,738.0,  Saiyan   ,54.59,127.0,34.0,jaco
PT-0327,39.0,70.4,283.0,Saiyan,38.8,30.0,75.0,krillin
PT-0328,69.0,212.9,,Frieza,52.61,53.0,104.0,turles
PT-0329,47.0,114.0,474.0,Human,33.0,66.0,76.0,nappa
PT-0330,60.0,98.4,800.0,Human,35.54,16.0,91.0,yamcha
PT-0331,100.0,300.2,187.0,Frieza,70.96,91.0,138.0,vegeta
PT-0332,83.0,196.6,320.0,Human,40.07,150.0,90.0,gohan (future)
PT-0333,56.0,177.2,695.0,Saiyan,55.5,15.0,55.0,captain ginyu
PT-0334,50.0,170.0,505.0,Human,24.71,56.0,84.0,tien
PT-0335,71.0,217.0,1153.0,Saiyan,43.72,63.0,104.0,jaco
PT-0336,,106.7,211.0,Saiyan,46.17,147.0,98.0,yamcha
PT-0337,57.0,115.0,, Frieza   ,42.8,54.0,1.0,krillin
PT-0338,76.0,173.7,196.0, Saiyan ,39.87,72.0,76.0,krillin
PT-0339,-5.0,164.7,146.0,Human,60.61,63.0,52.0,gotenks
PT-0340,82.0,248.0,476.0,Saiyan,53.34,96.0,,yamcha
PT-0341,24.0,41.2,249.0,  Saiyan  ,27.87,60.0,76.0,piccolo   
PT-0342,76.0,188.7,481.0,Human  ,45.41,55.0,72.0,jaco
PT-0343,71.0,119.8,471.0,Majin,48.12,126.0,51.0,cooler
PT-0344,78.0,133.3,,Human,46.54,103.0,108.0,gohan (kid)
PT-0345,102.0,208.4,297.0,Saiyan   ,80.28,146.0,96.0,cooler
PT-0346,29.0,126.0,639.0,  Saiyan,29.68,40.0,107.0,raditz
PT-0347,58.0,176.4,407.0,Human,40.21,86.0,142.0,dodoria
PT-0348,82.0,130.6,955.0,Human,48.47,87.0,127.0,nappa
PT-0349,38.0,132.8,442.0,Majin  ,49.42,119.0,66.0,android 18
PT-0350,100.0,346.8,276.0,Human,46.89,115.0,173.0,majin buu
PT-0351,77.0,182.8,179.0,Namekian,53.68,92.0,94.0,nappa
