id_patrulheiro,nivel,tempo_jogo_horas,medalhas_pt,raca,quest_sucess,ki_maximo,stamina_maxima,mentor_atual
PT-0045,72,196.1,472,Saiyan,43.9,153,36,whis
PT-0046,74,133.8,244,Human,45.93,113,58,nappa
PT-0047,87,267.2,252,Majin,57.08,115,31,gohan (kid)
PT-0048,74,151.1,1323,Frieza,39.1,141,124,gohan (kid)
PT-0049,84,165.9,511,Saiyan,64.22,72,28,nappa
PT-0050,71,121.1,558,Human,62.0,130,9,gohan (kid)
PT-0051,76,156.2,147,Majin,48.51,127,39,gotenks
PT-0052,83,158.5,344,Saiyan,56.05,132,19,frieza
PT-0053,41,87.5,650,Human,45.89,57,70,gohan (future)
PT-0054,64,142.9,554,Human,61.24,64,31,tien
PT-0055,61,111.9,135,Majin,56.86,44,5,android 18
PT-0056,57,157.8,558,Frieza,28.92,43,68,tien
PT-0057,64,75.3,614,Saiyan,43.08,45,75,dodoria
PT-0058,100,296.3,1064,Saiyan,64.01,125,25,vegeta
PT-0059,53,177.1,333,Saiyan,37.25,63,39,cell
PT-0060,89,202.2,128,Saiyan,69.86,118,89,majin buu
PT-0061,36,121.6,271,Human,47.44,78,41,raditz
PT-0062,63,99.5,255,Namekian,38.67,38,61,piccolo
PT-0063,73,83.9,767,Saiyan,47.9,45,128,zarbon
PT-0064,82,255.1,97,Human,46.8,86,173,raditz
PT-0065,84,257.5,377,Saiyan,52.04,66,76,android 16
PT-0066,86,269.3,1159,Saiyan,52.6,64,37,captain ginyu
PT-0067,63,87.2,495,Namekian,52.83,148,65,gotenks
PT-0068,61,164.2,844,Human,37.29,17,80,bardock
PT-0069,87,199.4,184,Saiyan,33.87,181,89,vegeta
PT-0070,66,163.2,188,Frieza,33.56,94,101,whis
PT-0071,44,84.3,1167,Human,29.37,105,149,hercule
PT-0072,47,143.4,524,Saiyan,33.55,102,0,yamcha
PT-0073,52,88.0,524,Human,42.3,96,46,gotenks
PT-0074,80,251.5,252,Human,43.36,160,148,dodoria
PT-0075,73,215.8,523,Saiyan,39.51,45,60,cell
PT-0076,84,258.6,248,Namekian,46.16,91,120,cell
PT-0077,61,133.5,1004,Human,35.47,45,98,broly
PT-0078,73,243.0,2532,Human,44.76,21,131,majin buu
PT-0079,83,140.0,659,Namekian,48.42,70,165,gotenks
PT-0080,64,74.8,337,Human,51.11,156,88,nappa
PT-0081,79,210.2,108,Saiyan,43.68,86,15,gohan (future)
PT-0082,57,132.0,179,Saiyan,39.94,155,42,android 16
PT-0083,63,85.5,1253,Saiyan,40.84,164,162,hercule
PT-0084,62,126.6,266,Saiyan,51.27,199,17,turles
PT-0085,46,111.0,394,Saiyan,37.17,143,82,yamcha
PT-0086,80,131.9,730,Human,60.41,188,0,nappa
PT-0087,61,85.4,1199,Saiyan,35.18,92,19,gotenks
PT-0088,70,218.6,437,Saiyan,47.61,95,114,whis
PT-0089,80,185.3,387,Human,47.39,106,87,majin buu
PT-0090,79,251.0,514,Saiyan,41.79,93,70,dodoria
PT-0091,83,300.6,338,Human,52.66,102,56,raditz
PT-0092,68,118.9,349,Human,61.06,114,0,captain ginyu
PT-0093,62,180.2,631,Saiyan,37.98,61,101,vegeta
PT-0094,68,158.1,551,Saiyan,46.18,29,66,broly
PT-0095,36,101.5,1770,Human,23.9,73,0,frieza
PT-0096,41,78.6,641,Saiyan,24.73,35,60,vegeta
PT-0097,44,62.5,983,Human,31.3,42,84,captain ginyu
PT-0098,50,90.1,259,Majin,36.4,64,57,pan
PT-0099,78,212.6,675,Human,47.96,78,89,android 18
PT-0100,52,170.9,319,Saiyan,38.99,116,68,raditz
PT-0101,62,189.1,625,Frieza,31.61,73,45,captain ginyu
PT-0102,96,247.4,745,Saiyan,53.39,153,99,dodoria
PT-0103,63,223.8,508,Namekian,49.21,89,104,gohan (kid)
PT-0104,85,267.1,2089,Majin,43.13,94,131,lord slug
PT-0105,51,102.2,1161,Saiyan,37.56,77,97,raditz
PT-0106,66,219.3,999,Saiyan,48.74,31,49,dodoria
PT-0107,51,109.2,779,Saiyan,34.14,84,91,zarbon
PT-0108,63,85.5,1419,Frieza,47.93,114,93,dodoria
PT-0109,87,214.2,208,Saiyan,42.63,139,63,frieza
PT-0110,35,126.2,1121,Namekian,41.11,4,36,cell
PT-0111,79,147.0,272,Human,54.53,32,112,yamcha
PT-0112,75,197.6,351,Human,50.45,69,138,gohan (kid)
PT-0113,58,139.2,690,Human,52.2,132,0,hercule
PT-0114,41,65.3,1033,Saiyan,33.77,72,124,whis
PT-0115,71,97.8,247,Saiyan,43.46,56,126,krillin
PT-0116,59,154.1,362,Frieza,54.58,19,79,tien
PT-0117,75,253.8,522,Saiyan,64.73,63,73,pan
PT-0118,70,124.2,441,Frieza,42.45,56,95,yamcha
PT-0119,102,225.0,823,Frieza,59.89,149,76,bardock
PT-0120,65,114.8,3872,Saiyan,54.36,123,68,gotenks
PT-0121,50,90.1,634,Human,39.37,28,6,yamcha
PT-0122,74,190.5,317,Saiyan,54.36,119,12,tien
PT-0123,74,203.6,226,Human,55.84,115,175,bardock
PT-0124,97,265.2,405,Frieza,54.3,60,100,raditz
PT-0125,87,180.1,280,Namekian,58.15,96,99,frieza
PT-0126,77,230.8,652,Frieza,50.75,105,83,raditz
PT-0127,99,165.7,646,Saiyan,49.87,116,66,cooler
PT-0128,46,92.9,373,Human,30.48,0,50,gotenks
PT-0129,57,183.7,1621,Saiyan,37.58,81,74,android 16
PT-0130,51,138.4,317,Namekian,47.83,96,58,krillin
PT-0131,62,203.9,459,Saiyan,52.49,143,43,cooler
PT-0132,42,156.5,723,Saiyan,42.8,37,79,android 16
PT-0133,83,224.5,842,Saiyan,56.72,75,96,piccolo
PT-0134,66,208.5,1061,Saiyan,49.7,74,92,majin buu
PT-0135,41,98.0,637,Saiyan,38.62,74,87,android 18
PT-0136,50,82.8,926,Saiyan,43.26,74,58,krillin
PT-0137,76,148.2,331,Namekian,54.2,115,76,jaco
PT-0138,87,154.9,855,Majin,43.56,55,150,zarbon
PT-0139,110,195.6,848,Saiyan,57.68,134,69,raditz
PT-0140,128,292.8,1221,Majin,62.97,103,45,tien
PT-0141,78,209.1,181,Saiyan,60.06,87,107,vegeta
PT-0142,50,139.6,286,Majin,53.23,138,40,gohan (kid)
PT-0143,27,56.1,807,Saiyan,20.0,0,6,gohan (kid)
PT-0144,75,114.5,100,Human,62.52,79,118,hercule
PT-0145,54,173.7,662,Saiyan,42.29,22,62,android 18
PT-0146,62,141.3,931,Saiyan,52.9,86,23,yamcha
PT-0147,58,89.7,349,Human,47.25,118,148,cell
PT-0148,67,99.2,381,Majin,58.32,90,12,lord slug
PT-0149,91,227.5,259,Majin,58.08,98,90,captain ginyu
PT-0150,73,136.1,360,Saiyan,38.29,142,6,zamasu
PT-0151,67,240.1,367,Human,45.95,97,88,gohan (kid)
PT-0152,49,126.2,327,Majin,43.73,102,39,tien
PT-0153,37,94.8,317,Saiyan,33.07,88,89,krillin
PT-0154,60,73.6,419,Saiyan,49.26,0,71,nappa
PT-0155,69,220.4,416,Saiyan,47.07,82,132,captain ginyu
PT-0156,105,283.2,1517,Saiyan,57.24,71,86,tien
PT-0157,73,121.9,389,Saiyan,40.51,55,17,frieza
PT-0158,90,231.1,606,Saiyan,52.87,161,103,beerus
PT-0159,60,159.7,349,Human,45.64,63,62,hercule
PT-0160,46,120.1,346,Human,22.72,143,0,android 16
PT-0161,51,115.1,177,Majin,34.16,14,23,android 16
PT-0162,55,129.2,192,Human,26.03,31,39,lord slug
PT-0163,113,195.4,239,Saiyan,60.26,151,171,dodoria
PT-0164,54,79.4,550,Frieza,51.18,60,96,vegeta
PT-0165,87,148.5,940,Majin,45.31,112,77,gohan (kid)
PT-0166,52,169.4,931,Human,46.43,67,85,tien
PT-0167,89,191.2,354,Saiyan,78.39,95,11,frieza
PT-0168,78,187.7,217,Human,62.83,80,62,dodoria
PT-0169,67,158.5,420,Human,47.87,91,93,yamcha
PT-0170,69,214.8,940,Human,54.47,111,85,raditz
PT-0171,57,164.7,377,Majin,31.84,140,48,hercule
PT-0172,79,263.1,479,Frieza,39.01,85,84,raditz
PT-0173,61,123.2,1180,Frieza,44.63,63,86,zarbon
PT-0174,45,67.2,649,Human,41.19,45,61,yamcha
PT-0175,44,106.5,312,Frieza,46.36,124,95,piccolo
PT-0176,73,186.1,542,Frieza,44.65,116,94,majin buu
PT-0177,102,321.2,300,Saiyan,62.35,36,122,tien
PT-0178,73,240.5,634,Human,50.47,11,150,gohan (kid)
PT-0179,68,162.3,671,Saiyan,46.15,51,111,bardock
PT-0180,76,298.3,217,Saiyan,49.82,100,153,dodoria
PT-0181,96,269.8,547,Saiyan,51.56,105,70,cooler
PT-0182,74,140.3,459,Human,51.84,110,18,android 18
PT-0183,62,149.5,683,Saiyan,46.36,73,68,piccolo
PT-0184,92,141.7,811,Saiyan,53.28,159,85,vegeta
PT-0185,79,247.7,656,Saiyan,56.93,124,144,vegeta
PT-0186,101,161.5,411,Human,68.62,114,55,raditz
PT-0187,74,163.3,7994,Namekian,55.02,135,79,raditz
PT-0188,46,142.8,292,Frieza,30.06,1,78,cooler
PT-0189,43,48.5,223,Saiyan,38.0,61,64,tien
PT-0190,103,153.9,72,Saiyan,53.91,118,95,yamcha
PT-0191,104,293.5,472,Namekian,62.37,137,117,frieza
PT-0192,66,101.9,301,Saiyan,39.14,14,119,zarbon
PT-0193,62,182.1,626,Frieza,55.02,69,135,android 18
PT-0194,99,230.6,151,Majin,65.87,125,101,krillin
PT-0195,48,108.1,334,Human,48.42,87,31,cell
PT-0196,52,93.7,653,Saiyan,49.21,119,128,turles
PT-0197,83,246.9,266,Saiyan,51.04,127,45,captain ginyu
PT-0198,62,189.2,630,Human,41.4,77,145,gotenks
PT-0199,70,136.4,353,Saiyan,61.93,113,133,vegeta
PT-0200,67,236.5,483,Namekian,45.48,76,136,tien
PT-0201,77,226.4,704,Human,39.96,97,111,vegeta
PT-0202,98,269.6,873,Saiyan,67.26,140,14,zarbon
PT-0203,72,208.1,521,Saiyan,49.95,86,39,turles
PT-0204,83,243.9,302,Human,65.25,111,100,nappa
PT-0205,29,104.4,374,Saiyan,33.54,92,23,gohan (kid)
PT-0206,69,148.2,722,Human,47.44,114,66,broly
PT-0207,53,147.1,267,Human,53.41,122,92,raditz
PT-0208,46,98.5,443,Majin,26.09,160,55,android 18
PT-0209,52,73.1,391,Saiyan,36.12,100,18,nappa
PT-0210,63,147.0,463,Saiyan,38.1,62,110,jaco
PT-0211,88,135.9,2286,Namekian,37.64,121,112,piccolo
PT-0212,43,109.9,162,Human,44.19,83,50,lord slug
PT-0213,71,145.0,673,Majin,43.94,111,108,frieza
PT-0214,60,118.2,879,Human,51.24,138,76,bardock
PT-0215,63,204.4,168,Namekian,48.31,13,127,bojack
PT-0216,90,247.5,615,Saiyan,60.86,163,99,hercule
PT-0217,81,204.0,944,Saiyan,48.76,169,140,tien
PT-0218,97,156.2,705,Majin,52.69,130,23,dodoria
PT-0219,67,150.9,384,Saiyan,47.52,107,95,turles
PT-0220,56,113.3,280,Majin,49.75,65,53,android 18
PT-0221,66,163.2,517,Saiyan,46.0,83,42,broly
PT-0222,75,218.7,572,Saiyan,44.38,118,129,gohan (adult) and videl
PT-0223,74,174.1,522,Saiyan,40.01,115,117,gohan (kid)
PT-0224,48,106.7,442,Namekian,40.83,97,0,piccolo
PT-0225,72,229.4,257,Majin,44.37,113,109,nappa
PT-0226,75,222.9,635,Saiyan,49.43,126,106,cell
PT-0227,120,325.7,654,Saiyan,66.09,157,85,dodoria
PT-0228,108,296.9,556,Saiyan,59.64,75,72,krillin
PT-0229,53,57.4,527,Saiyan,43.55,106,3,lord slug
PT-0230,64,211.3,1350,Majin,50.04,156,61,krillin
PT-0231,41,72.2,339,Saiyan,52.12,62,52,vegeta
PT-0232,58,131.5,1063,Saiyan,49.26,136,102,dodoria
PT-0233,76,270.2,317,Saiyan,63.15,54,94,captain ginyu
PT-0234,94,266.6,959,Human,51.05,104,53,yamcha
PT-0235,55,88.8,1033,Human,29.19,48,78,majin buu
PT-0236,57,85.4,413,Human,42.68,131,60,turles
PT-0237,27,66.1,1335,Human,37.66,117,12,cell
PT-0238,67,189.1,653,Frieza,52.41,80,13,jaco
PT-0239,49,90.6,291,Human,49.29,116,89,raditz
PT-0240,59,158.6,394,Namekian,23.31,143,89,yamcha
PT-0241,52,174.4,972,Human,50.82,70,89,tien
PT-0242,68,207.5,857,Saiyan,49.88,90,48,lord slug
PT-0243,35,115.6,261,Majin,21.65,87,61,yamcha
PT-0244,41,57.7,453,Human,42.19,29,4,pan
PT-0245,113,179.3,557,Human,66.56,125,70,cooler
PT-0246,44,112.9,363,Saiyan,40.65,151,62,gohan (adult) and videl
PT-0247,48,107.4,2028,Saiyan,47.19,48,74,zarbon
PT-0248,107,182.5,567,Namekian,66.24,150,40,lord slug
PT-0249,128,260.2,475,Saiyan,59.42,153,77,zarbon
PT-0250,47,72.2,1007,Saiyan,37.66,61,48,frieza
PT-0251,63,110.1,396,Saiyan,32.26,89,112,hercule
PT-0252,77,208.2,902,Human,55.99,162,51,raditz
PT-0253,105,326.3,181,Namekian,73.18,136,109,broly
PT-0254,50,148.1,375,Human,30.07,98,75,lord slug
PT-0255,65,178.5,925,Frieza,40.63,146,66,majin buu
PT-0256,86,193.2,1264,Human,47.34,87,101,raditz
PT-0257,79,267.8,310,Saiyan,47.97,51,32,tien
PT-0258,62,134.0,289,Saiyan,48.1,150,47,tien
PT-0259,67,133.8,693,Saiyan,43.26,89,134,android 18
PT-0260,43,146.7,339,Majin,42.42,100,120,yamcha
PT-0261,65,159.0,419,Saiyan,54.52,52,109,nenhum
PT-0262,65,97.5,834,Saiyan,54.81,98,120,goku
PT-0263,75,146.3,356,Namekian,41.05,46,9,krillin
PT-0264,59,144.6,152,Human,54.69,80,33,lord slug
PT-0265,79,154.1,226,Saiyan,63.33,67,73,raditz
PT-0266,90,226.1,496,Majin,68.42,67,190,nappa
PT-0267,73,231.6,161,Human,47.94,76,69,raditz
PT-0268,77,158.4,412,Namekian,44.79,0,114,gotenks
PT-0269,71,193.2,214,Human,40.53,40,95,beerus
PT-0270,70,160.9,1318,Saiyan,39.19,117,93,krillin
PT-0271,56,164.8,1806,Saiyan,42.49,89,68,gohan (kid)
PT-0272,76,140.0,261,Saiyan,57.18,48,35,zarbon
PT-0273,68,138.4,575,Majin,57.65,106,0,captain ginyu
PT-0274,112,268.2,277,Human,60.92,84,160,tien
PT-0275,101,289.4,409,Majin,60.09,140,76,gotenks
PT-0276,78,238.2,1454,Human,50.37,88,10,pan
PT-0277,55,146.4,372,Saiyan,36.92,61,86,vegeta
PT-0278,48,121.8,415,Saiyan,45.09,65,80,turles
PT-0279,94,236.0,280,Saiyan,60.5,200,127,android 16
PT-0280,75,105.8,980,Saiyan,51.13,60,127,cooler
PT-0281,80,154.0,70,Human,54.87,103,49,gohan (adult) and videl
PT-0282,35,45.9,378,Frieza,38.92,89,20,dodoria
PT-0283,89,182.7,479,Saiyan,60.44,63,80,frieza
PT-0284,79,215.0,331,Human,44.89,29,118,gohan (kid)
PT-0285,48,121.1,827,Saiyan,46.37,44,0,cell
PT-0286,61,163.0,1014,Majin,46.44,109,78,yamcha
PT-0287,75,196.0,211,Saiyan,46.52,76,120,raditz
PT-0288,71,198.4,1730,Human,50.27,78,115,dodoria
PT-0289,64,181.2,210,Saiyan,48.36,118,103,vegeta
PT-0290,68,135.3,1068,Saiyan,55.85,52,120,raditz
PT-0291,65,156.1,539,Human,37.63,78,0,piccolo
PT-0292,73,184.5,364,Saiyan,59.8,28,146,turles
PT-0293,99,288.9,385,Human,59.79,122,113,cooler
PT-0294,19,35.7,483,Saiyan,23.55,54,97,vegeta
PT-0295,65,140.7,558,Frieza,41.71,114,29,gotenks
PT-0296,74,225.1,284,Saiyan,41.59,43,12,gotenks
PT-0297,76,212.8,428,Human,36.47,83,155,tien
PT-0298,63,107.0,310,Namekian,50.62,29,37,frieza
PT-0299,35,82.9,238,Human,49.85,48,42,gohan (kid)
PT-0300,77,266.4,302,Saiyan,37.86,151,105,frieza
PT-0301,105,155.2,247,Human,54.4,101,134,lord slug
PT-0302,39,123.3,383,Saiyan,41.61,7,100,krillin
PT-0303,87,159.0,639,Human,54.43,72,100,captain ginyu
PT-0304,63,171.4,530,Saiyan,51.88,16,32,gohan (kid)
PT-0305,69,160.6,1611,Majin,46.79,33,107,captain ginyu
PT-0306,49,101.6,131,Namekian,34.95,96,93,tien
PT-0307,63,207.5,653,Saiyan,43.39,23,1,gohan (adult) and videl
PT-0308,96,227.8,495,Saiyan,39.34,119,154,frieza
PT-0309,82,276.9,804,Saiyan,43.65,97,0,piccolo
PT-0310,105,198.0,757,Human,69.59,93,145,majin buu
PT-0311,94,288.3,446,Saiyan,67.14,114,70,krillin
PT-0312,79,256.3,547,Human,62.85,56,114,cooler
PT-0313,105,291.5,315,Human,65.53,148,124,captain ginyu
PT-0314,79,150.0,712,Frieza,33.55,65,84,krillin
PT-0315,87,242.5,160,Saiyan,49.72,84,109,raditz
PT-0316,64,184.7,785,Saiyan,56.2,61,71,tien
PT-0317,71,263.9,486,Saiyan,61.38,114,108,lord slug
PT-0318,56,152.0,368,Human,53.3,97,157,cell
PT-0319,90,170.5,429,Saiyan,54.11,0,39,tien
PT-0320,46,74.3,448,Saiyan,27.95,77,0,tien
PT-0321,86,276.4,1073,Saiyan,54.07,29,74,broly
PT-0322,66,231.2,3429,Majin,46.52,69,57,piccolo
PT-0323,93,140.8,1024,Frieza,69.72,100,80,gohan (kid)
PT-0324,85,264.2,351,Saiyan,55.82,84,52,cell
PT-0325,106,370.6,719,Saiyan,62.53,135,139,tien
PT-0326,85,131.6,738,Saiyan,54.59,127,34,jaco
PT-0327,39,70.4,283,Saiyan,38.8,30,75,krillin
PT-0328,69,212.9,231,Frieza,52.61,53,104,turles
PT-0329,47,114.0,474,Human,33.0,66,76,nappa
PT-0330,60,98.4,800,Human,35.54,16,91,yamcha
PT-0331,100,300.2,187,Frieza,70.96,91,138,vegeta
PT-0332,83,196.6,320,Human,40.07,150,90,gohan (future)
PT-0333,56,177.2,695,Saiyan,55.5,15,55,captain ginyu
PT-0334,50,170.0,505,Human,24.71,56,84,tien
PT-0335,71,217.0,1153,Saiyan,43.72,63,104,jaco
PT-0336,46,106.7,211,Saiyan,46.17,147,98,yamcha
PT-0337,57,115.0,2021,Frieza,42.8,54,1,krillin
PT-0338,76,173.7,196,Saiyan,39.87,72,76,krillin
PT-0339,93,164.7,146,Human,60.61,63,52,gotenks
PT-0340,82,248.0,476,Saiyan,53.34,96,110,yamcha
PT-0341,24,41.2,249,Saiyan,27.87,60,76,piccolo
PT-0342,76,188.7,481,Human,45.41,55,72,jaco
PT-0343,71,119.8,471,Majin,48.12,126,51,cooler
PT-0344,78,133.3,438,Human,46.54,103,108,gohan (kid)
PT-0345,102,208.4,297,Saiyan,80.28,146,96,cooler
PT-0346,29,126.0,639,Saiyan,29.68,40,107,raditz
PT-0347,58,176.4,407,Human,40.21,86,142,dodoria
PT-0348,82,130.6,955,Human,48.47,87,127,nappa
PT-0349,38,132.8,442,Majin,49.42,119,66,android 18
PT-0350,100,346.8,276,Human,46.89,115,173,majin buu
PT-0351,77,182.8,179,Namekian,53.68,92,94,nappa
PT-0352,87,212.8,444,Majin,52.89,81,72,yamcha
PT-0353,59,144.5,230,Saiyan,32.21,57,44,nappa
PT-0354,86,194.1,219,Human,47.85,108,62,majin buu
PT-0355,91,242.1,676,Majin,58.94,136,93,hercule
PT-0356,75,108.1,170,Frieza,43.08,63,101,hercule
PT-0357,75,248.5,1150,Saiyan,52.08,95,26,gohan (future)
PT-0358,75,231.9,542,Human,63.83,97,65,gotenks
PT-0359,53,185.1,480,Saiyan,42.56,87,76,gohan (future)
PT-0360,67,161.5,265,Majin,35.17,15,103,android 18
PT-0361,67,176.3,779,Frieza,40.03,47,76,raditz
PT-0362,78,257.7,492,Frieza,48.92,38,94,cooler
PT-0363,90,171.4,326,Saiyan,53.18,103,43,piccolo
PT-0364,49,103.2,556,Saiyan,40.82,33,28,tien
PT-0365,67,177.4,180,Majin,49.3,64,74,gohan (kid)
PT-0366,100,207.4,185,Human,73.84,62,120,nappa
PT-0367,55,100.8,252,Frieza,41.97,58,78,cell
PT-0368,54,53.7,608,Saiyan,32.38,28,34,nappa
PT-0369,74,180.5,492,Namekian,58.83,120,72,krillin
PT-0370,87,178.1,925,Human,64.9,119,151,whis
PT-0371,70,146.0,284,Saiyan,49.86,92,101,cooler
PT-0372,97,144.9,696,Saiyan,56.83,96,91,piccolo
PT-0373,87,217.5,460,Majin,59.78,18,50,raditz
PT-0374,87,272.7,280,Saiyan,53.11,81,62,yamcha
PT-0375,81,172.5,621,Majin,35.95,64,87,beerus
PT-0376,117,318.2,474,Human,71.31,133,123,raditz
PT-0377,66,213.7,338,Human,53.54,108,99,jaco
PT-0378,30,96.1,505,Saiyan,43.53,67,67,raditz
PT-0379,102,294.2,456,Frieza,54.95,162,87,gohan (adult) and videl
PT-0380,61,170.7,449,Majin,46.21,56,52,krillin
PT-0381,72,207.5,385,Majin,50.78,63,162,dodoria
PT-0382,96,122.5,225,Majin,59.08,148,75,vegeta
PT-0383,38,68.2,515,Human,36.12,67,5,nappa
PT-0384,45,175.0,304,Frieza,38.3,56,0,bojack
PT-0385,38,117.6,267,Human,36.89,134,42,lord slug
PT-0386,54,190.5,426,Human,47.53,96,105,raditz
PT-0387,79,287.5,765,Saiyan,61.36,86,62,majin buu
PT-0388,80,152.5,551,Saiyan,45.95,67,145,yamcha
PT-0389,76,233.4,358,Majin,49.02,144,83,pan
PT-0390,42,92.9,350,Saiyan,33.42,72,104,zarbon
PT-0391,24,60.1,722,Majin,25.07,50,16,piccolo
PT-0392,71,122.1,117,Frieza,35.47,114,50,gohan (kid)
PT-0393,61,106.1,795,Saiyan,44.59,114,76,yamcha
PT-0394,79,233.4,160,Saiyan,55.43,115,105,pan
PT-0395,84,260.8,211,Human,52.36,133,82,gohan (kid)
PT-0396,73,192.4,362,Saiyan,49.13,106,93,yamcha
PT-0397,85,182.9,1812,Majin,57.35,120,113,gohan (adult) and videl
PT-0398,75,197.5,1348,Human,61.29,61,26,piccolo
PT-0399,81,276.3,753,Human,49.04,167,73,tien
PT-0400,56,126.7,610,Human,33.03,25,48,android 16
PT-0401,66,173.3,161,Human,45.68,95,57,krillin
PT-0402,74,196.3,541,Saiyan,64.67,36,98,gotenks
PT-0403,86,221.0,354,Saiyan,45.11,95,70,frieza
PT-0404,62,164.0,302,Saiyan,50.0,57,0,raditz
PT-0405,80,185.4,541,Namekian,61.26,99,77,dodoria
PT-0406,65,178.2,371,Saiyan,27.08,96,33,raditz
PT-0407,68,201.3,830,Saiyan,50.48,46,97,captain ginyu
PT-0408,87,265.2,154,Saiyan,59.63,98,123,frieza
PT-0409,30,84.5,515,Saiyan,29.86,110,0,hercule
PT-0410,44,84.5,291,Saiyan,32.43,13,30,dodoria
PT-0411,40,135.3,385,Majin,31.27,28,72,hercule
PT-0412,23,73.5,592,Saiyan,26.57,83,0,tien
PT-0413,56,143.4,252,Human,39.98,78,101,whis
PT-0414,85,233.8,544,Saiyan,50.07,104,131,piccolo
PT-0415,64,201.3,434,Human,42.84,122,68,gotenks
PT-0416,74,199.0,332,Saiyan,59.13,57,51,dodoria
PT-0417,92,260.5,372,Majin,47.08,83,2,tien
PT-0418,97,203.8,449,Frieza,44.81,82,130,nappa
PT-0419,69,177.6,311,Saiyan,57.25,71,158,whis
PT-0420,97,256.1,495,Frieza,57.26,161,170,gotenks
PT-0421,72,118.0,417,Saiyan,45.69,20,73,lord slug
PT-0422,53,170.4,341,Human,40.31,25,23,vegeta
PT-0423,58,163.5,1279,Majin,44.87,22,104,cooler
PT-0424,40,58.1,632,Saiyan,31.81,118,53,raditz
PT-0425,52,194.0,392,Saiyan,44.85,47,86,android 16
PT-0426,63,176.2,538,Saiyan,37.5,67,86,raditz
PT-0427,86,282.8,266,Human,51.99,34,94,gotenks
PT-0428,104,234.7,379,Saiyan,43.88,103,144,cell
PT-0429,42,146.9,407,Namekian,46.18,98,102,vegeta
PT-0430,78,192.6,233,Saiyan,49.79,103,64,android 16
PT-0431,49,146.6,622,Frieza,44.96,65,27,nappa
PT-0432,79,106.0,364,Saiyan,55.41,31,0,yamcha
PT-0433,67,203.0,398,Human,51.2,70,63,raditz
PT-0434,33,124.6,350,Saiyan,33.14,62,9,gohan (kid)
PT-0435,89,230.6,2909,Saiyan,58.71,62,109,raditz
PT-0436,58,145.1,331,Saiyan,35.51,103,57,android 16
PT-0437,59,176.2,142,Human,34.23,113,62,lord slug
PT-0438,49,135.1,189,Saiyan,38.79,48,97,dodoria
PT-0439,57,142.9,777,Human,37.36,105,86,hit
