nome,tamanho_cm,necessidade_agua,necessidade_luz,toxica_para_pets,ideal_interno
Suculenta,61.0,Baixa,Meia-sombra,0,1
Cacto,36.0,Alta,Sombra,0,1
Espada-de-sao-jorge,48.0,Alta,Sol-pleno,0,1
Suculenta,18.0,Baixa,,0,1
Ficus,5.0,Media,Sol-pleno,0,0
Orquidea,69.0,Baixa,Meia-sombra,0,1
Suculenta,30.0,Baixa,Sombra,0,1
Suculenta,41.0,Baixa,Sombra,0,1
Suculenta,22.0,Media,,0,1
Suculenta,22.0,Baixa,Sombra,0,1
Ficus,47.0,Baixa,Sombra,1,1
Suculenta,35.0,Media,Meia-sombra,0,1
Orquidea,58.0,Media,Sombra,0,1
Samambaia,,Baixa,Sol-pleno,0,1
Suculenta,56.0,Media,Sombra,0,1
Ficus,55.0,Baixa,Sombra,0,1
Cacto,,Alta,Sombra,0,1
Cacto,29.0,Media,Sombra,0,1
Espada-de-sao-jorge,49.0,Alta,Sol-pleno,0,0
Samambaia,73.0,Baixa,Sombra,0,1
Samambaia,75.0,Alta,Sombra,0,1
Cacto,,Media,Sol-pleno,0,1
Espada-de-sao-jorge,44.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,77.0,Alta,Sombra,0,1
Ficus,60.0,Baixa,Sol-pleno,1,1
Samambaia,54.0,Baixa,Sombra,0,1
Orquidea,46.0,Alta,Sombra,0,1
Ficus,42.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,56.0,Media,Sol-pleno,0,1
Samambaia,45.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,49.0,Baixa,Sol-pleno,1,1
Samambaia,52.0,Baixa,Sombra,1,1
Cacto,36.0,Baixa,Sol-pleno,0,1
Suculenta,61.0,Media,Sombra,0,1
Ficus,108.0,Media,Meia-sombra,1,1
Suculenta,14.0,Baixa,Meia-sombra,0,1
Suculenta,56.0,Media,Sombra,0,1
Orquidea,35.0,Baixa,Meia-sombra,1,1
Espada-de-sao-jorge,62.0,Media,Sol-pleno,0,1
Suculenta,51.0,Alta,Meia-sombra,0,1
Cacto,65.0,Alta,Meia-sombra,0,1
Cacto,,Alta,Sol-pleno,0,1
Cacto,54.0,Baixa,Sol-pleno,0,1
Orquidea,73.0,Baixa,Sombra,0,1
Samambaia,5.0,Alta,Sol-pleno,0,1
Samambaia,82.0,Baixa,Sol-pleno,0,1
Cacto,58.0,Alta,Sol-pleno,0,1
Ficus,72.0,Media,Sol-pleno,1,1
Ficus,26.0,Baixa,Sol-pleno,0,1
Ficus,33.0,Alta,Sol-pleno,1,0
Orquidea,53.0,Media,Sombra,0,1
Orquidea,50.0,Alta,Sol-pleno,0,1
Orquidea,56.0,Media,Sombra,0,1
Cacto,72.0,Baixa,Meia-sombra,0,1
Orquidea,15.0,Alta,Sol-pleno,0,0
Ficus,69.0,Baixa,Sombra,1,1
Espada-de-sao-jorge,50.0,Media,Sol-pleno,1,0
Suculenta,46.0,Media,Meia-sombra,1,1
Espada-de-sao-jorge,,Alta,Sombra,0,1
Ficus,60.0,Alta,Sombra,0,1
Cacto,5.0,Media,Meia-sombra,0,1
Orquidea,,Alta,Meia-sombra,0,1
Cacto,20.0,Baixa,Meia-sombra,1,1
Cacto,51.0,Baixa,Sombra,1,1
Ficus,48.0,Alta,Sombra,0,1
Cacto,73.0,Media,Sombra,1,1
Samambaia,46.0,Media,Sombra,1,1
Samambaia,36.0,Baixa,Sol-pleno,0,1
Orquidea,40.0,Baixa,Sombra,1,1
Suculenta,75.0,Alta,Sol-pleno,0,1
Suculenta,61.0,Alta,Sombra,0,1
Cacto,42.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,45.0,Media,Sol-pleno,0,1
Ficus,19.0,Media,Meia-sombra,0,1
Cacto,58.0,Baixa,Sombra,1,1
Ficus,15.0,Baixa,Meia-sombra,0,1
Cacto,65.0,Media,Sombra,0,1
Espada-de-sao-jorge,53.0,Media,Sol-pleno,0,1
Cacto,98.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,28.0,Media,Meia-sombra,1,1
Cacto,48.0,Media,Meia-sombra,0,1
Orquidea,86.0,Alta,Meia-sombra,1,1
Cacto,74.0,Alta,Sol-pleno,0,1
Samambaia,36.0,Media,Meia-sombra,0,1
Orquidea,54.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,50.0,Alta,Meia-sombra,0,1
Samambaia,56.0,Alta,Sombra,1,1
Orquidea,36.0,Baixa,Sol-pleno,0,1
Samambaia,48.0,Alta,Meia-sombra,0,1
Orquidea,18.0,Baixa,Sol-pleno,0,1
Orquidea,53.0,Media,Meia-sombra,1,0
Cacto,59.0,Baixa,Meia-sombra,0,1
Orquidea,,Alta,Meia-sombra,1,1
Samambaia,18.0,Baixa,Meia-sombra,1,0
Ficus,70.0,Alta,Sol-pleno,0,1
Ficus,57.0,Baixa,Meia-sombra,0,1
Cacto,35.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,44.0,Media,Meia-sombra,0,1
Ficus,20.0,Alta,Sombra,1,1
Cacto,29.0,Baixa,Sol-pleno,0,1
Orquidea,39.0,Baixa,Meia-sombra,1,1
Samambaia,75.0,Baixa,Sol-pleno,0,1
Orquidea,37.0,Media,Meia-sombra,0,1
Samambaia,63.0,Baixa,Meia-sombra,1,1
Orquidea,39.0,Alta,Sol-pleno,0,1
Suculenta,55.0,Baixa,Meia-sombra,0,1
Suculenta,47.0,Alta,Sol-pleno,0,0
Samambaia,67.0,Alta,Meia-sombra,0,1
Cacto,39.0,Alta,Sombra,1,1
Espada-de-sao-jorge,19.0,Alta,Sombra,0,1
Ficus,22.0,Alta,Sol-pleno,1,1
Orquidea,39.0,Baixa,Meia-sombra,0,1
Cacto,25.0,Media,Meia-sombra,0,1
Orquidea,58.0,Alta,Sol-pleno,0,1
Suculenta,41.0,Media,Meia-sombra,1,1
Cacto,,Alta,Meia-sombra,0,1
Samambaia,15.0,Alta,,0,1
Suculenta,54.0,Alta,Sombra,0,1
Ficus,27.0,Baixa,Sombra,0,1
Suculenta,40.0,Media,Sol-pleno,1,0
Ficus,53.0,Baixa,Sombra,0,1
Suculenta,5.0,Baixa,Sol-pleno,1,0
Suculenta,55.0,Baixa,Sombra,0,1
Ficus,88.0,Media,Sombra,0,1
Orquidea,41.0,Media,Sol-pleno,0,1
Cacto,55.0,Alta,Meia-sombra,1,0
Orquidea,70.0,Alta,Sol-pleno,0,1
Ficus,47.0,Alta,Meia-sombra,0,1
Samambaia,38.0,Baixa,Sombra,0,1
Cacto,5.0,Media,Sol-pleno,0,1
Samambaia,63.0,Alta,Sombra,0,1
Samambaia,48.0,Baixa,Sombra,1,1
Suculenta,30.0,Media,Sol-pleno,0,1
Ficus,53.0,Alta,Sombra,0,1
Orquidea,38.0,Alta,Meia-sombra,0,1
Ficus,,Alta,Meia-sombra,0,1
Samambaia,62.0,Media,Sol-pleno,0,1
Suculenta,23.0,Media,Sombra,1,1
Orquidea,71.0,Media,Sombra,0,1
Samambaia,22.0,Alta,Meia-sombra,1,0
Samambaia,37.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,88.0,Media,Sol-pleno,1,1
Espada-de-sao-jorge,73.0,Baixa,Meia-sombra,0,1
Suculenta,52.0,Media,Sombra,1,1
Cacto,31.0,Baixa,,0,1
Cacto,39.0,Media,Meia-sombra,0,1
Suculenta,51.0,Alta,Sol-pleno,0,0
Suculenta,51.0,Alta,Sol-pleno,0,1
Samambaia,48.0,Media,Sombra,0,0
Ficus,49.0,Alta,Meia-sombra,0,1
Ficus,46.0,Alta,,1,1
Espada-de-sao-jorge,21.0,Media,Meia-sombra,1,1
Cacto,,Alta,,0,1
Cacto,68.0,Media,Meia-sombra,1,0
Cacto,23.0,Alta,Meia-sombra,0,1
Orquidea,46.0,Media,Sombra,0,1
Ficus,34.0,Baixa,Sombra,0,1
Ficus,52.0,Baixa,Sombra,0,1
Samambaia,42.0,Alta,,0,0
Cacto,80.0,Baixa,Sol-pleno,0,1
Orquidea,60.0,Alta,Meia-sombra,0,1
Cacto,24.0,Baixa,Meia-sombra,0,1
Cacto,63.0,Media,Sombra,1,1
Espada-de-sao-jorge,35.0,Media,Sombra,0,1
Ficus,38.0,Media,Sol-pleno,1,1
Suculenta,56.0,Baixa,Sombra,0,1
Suculenta,40.0,Baixa,Sombra,0,1
Cacto,68.0,Media,Sol-pleno,0,1
Orquidea,35.0,Media,Meia-sombra,1,0
Samambaia,38.0,Alta,Sombra,0,1
Espada-de-sao-jorge,37.0,Media,Meia-sombra,0,1
Samambaia,39.0,Baixa,Sol-pleno,1,1
Suculenta,72.0,Baixa,Meia-sombra,1,1
Suculenta,63.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,84.0,Media,Meia-sombra,0,1
Cacto,95.0,Alta,Meia-sombra,0,1
Samambaia,29.0,Media,Sol-pleno,0,1
Ficus,51.0,Media,Sombra,1,1
Cacto,26.0,Baixa,,0,1
Orquidea,34.0,Baixa,Sombra,0,1
Ficus,37.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,29.0,Media,Meia-sombra,0,1
Suculenta,29.0,Media,Meia-sombra,0,1
Ficus,47.0,Media,Sol-pleno,0,1
Samambaia,26.0,Baixa,Meia-sombra,0,1
Suculenta,67.0,Media,Sombra,0,1
Samambaia,32.0,Media,Meia-sombra,0,1
Ficus,106.0,Baixa,Meia-sombra,0,1
Suculenta,41.0,Media,Meia-sombra,0,0
Orquidea,51.0,Media,Meia-sombra,0,1
Ficus,24.0,Baixa,Sol-pleno,1,1
Samambaia,84.0,Media,Sombra,1,1
Samambaia,72.0,Alta,,1,0
Suculenta,56.0,Baixa,Meia-sombra,0,1
Orquidea,23.0,Alta,Sombra,0,1
Orquidea,54.0,Media,Sombra,0,1
Espada-de-sao-jorge,28.0,Alta,Meia-sombra,1,1
Orquidea,79.0,Baixa,Meia-sombra,0,1
Samambaia,66.0,Alta,Meia-sombra,0,1
Ficus,52.0,Media,Sombra,0,1
Suculenta,5.0,Alta,Sol-pleno,0,1
Espada-de-sao-jorge,30.0,Alta,,1,1
Espada-de-sao-jorge,,Baixa,Sombra,0,1
Samambaia,74.0,Baixa,Sombra,0,1
Samambaia,72.0,Baixa,Sombra,1,1
Ficus,18.0,Media,Meia-sombra,0,1
Ficus,56.0,Alta,Meia-sombra,0,1
Suculenta,70.0,Media,Meia-sombra,0,1
Suculenta,17.0,Baixa,Meia-sombra,0,1
Cacto,50.0,Baixa,Sol-pleno,0,1
Samambaia,,Media,Sol-pleno,0,1
Orquidea,44.0,Alta,Meia-sombra,1,0
Cacto,13.0,Baixa,Sol-pleno,0,1
Orquidea,43.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,43.0,Media,Sol-pleno,0,1
Samambaia,47.0,Baixa,Sombra,1,1
Samambaia,39.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,41.0,Alta,Meia-sombra,1,1
Suculenta,49.0,Media,Sombra,0,0
Samambaia,59.0,Alta,Sombra,0,1
Suculenta,44.0,Alta,Meia-sombra,1,1
Suculenta,42.0,Alta,Meia-sombra,0,0
Espada-de-sao-jorge,52.0,Baixa,Sol-pleno,0,1
Samambaia,12.0,Baixa,Sol-pleno,1,1
Espada-de-sao-jorge,60.0,Media,Sombra,0,1
Espada-de-sao-jorge,50.0,Baixa,Sol-pleno,0,1
Samambaia,51.0,Baixa,Meia-sombra,1,1
Ficus,69.0,Media,Meia-sombra,1,1
Suculenta,11.0,Media,Sol-pleno,1,1
Ficus,,Baixa,Meia-sombra,1,1
Samambaia,55.0,Baixa,Sombra,0,1
Cacto,50.0,Baixa,Sombra,1,1
Espada-de-sao-jorge,53.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,41.0,Alta,Sombra,0,1
Ficus,63.0,Media,Sombra,0,1
Espada-de-sao-jorge,69.0,Baixa,Sol-pleno,1,1
Ficus,60.0,Media,,0,1
Orquidea,45.0,Baixa,Sombra,1,1
Espada-de-sao-jorge,8.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,65.0,Baixa,Sombra,0,1
Samambaia,74.0,Media,Sombra,0,1
Espada-de-sao-jorge,63.0,Media,Sol-pleno,0,0
Ficus,32.0,Media,Meia-sombra,0,1
Suculenta,63.0,Media,Sol-pleno,0,1
Cacto,67.0,Media,Meia-sombra,0,1
Samambaia,81.0,Alta,Meia-sombra,0,1
Ficus,32.0,Alta,Sombra,0,1
Orquidea,45.0,Baixa,Meia-sombra,0,1
Cacto,65.0,Alta,,0,1
Suculenta,,Baixa,Sol-pleno,0,1
Cacto,28.0,Baixa,Sombra,0,1
Cacto,58.0,Media,Sombra,0,1
Espada-de-sao-jorge,62.0,Baixa,Meia-sombra,0,1
Ficus,52.0,Media,Meia-sombra,0,1
Orquidea,54.0,Baixa,Sombra,0,1
Orquidea,,Media,Meia-sombra,0,1
Cacto,,Alta,Sombra,0,1
Samambaia,32.0,Alta,,0,1
Ficus,38.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,,Media,Sol-pleno,1,1
Espada-de-sao-jorge,68.0,Media,Sol-pleno,0,1
Samambaia,20.0,Media,Meia-sombra,0,1
Ficus,24.0,Media,Sol-pleno,1,0
Ficus,9.0,Alta,Sombra,0,1
Ficus,51.0,Media,Sol-pleno,0,1
Orquidea,,Baixa,Meia-sombra,1,1
Espada-de-sao-jorge,42.0,Alta,Sol-pleno,0,1
Ficus,63.0,Alta,Sombra,1,1
Orquidea,37.0,Baixa,Sombra,0,1
Samambaia,55.0,Media,Sol-pleno,0,1
Cacto,44.0,Alta,Meia-sombra,0,1
Suculenta,63.0,Media,Sombra,0,1
Orquidea,60.0,Media,Meia-sombra,1,1
Espada-de-sao-jorge,36.0,Alta,Sombra,0,1
Ficus,47.0,Alta,Meia-sombra,0,1
Samambaia,71.0,Media,Sol-pleno,0,0
Samambaia,58.0,Baixa,Sol-pleno,1,0
Samambaia,,Media,Meia-sombra,0,1
Espada-de-sao-jorge,63.0,Alta,Meia-sombra,1,1
Orquidea,28.0,Baixa,Sol-pleno,0,1
Samambaia,78.0,Media,Sombra,1,0
Espada-de-sao-jorge,70.0,Media,Sombra,0,1
Cacto,56.0,Baixa,Sombra,0,1
Suculenta,,Media,Sol-pleno,0,1
Cacto,46.0,Alta,Meia-sombra,0,1
Ficus,64.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,43.0,Media,Sombra,0,1
Ficus,55.0,Alta,Sombra,1,0
Samambaia,67.0,Baixa,Sol-pleno,1,0
Samambaia,39.0,Media,,1,1
Samambaia,38.0,Baixa,Sombra,1,1
Ficus,26.0,Media,Sombra,1,1
Ficus,29.0,Media,Meia-sombra,0,1
Orquidea,13.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,65.0,Baixa,Sol-pleno,1,1
Ficus,86.0,Media,,1,1
Samambaia,79.0,Alta,,1,0
Suculenta,17.0,Baixa,,1,1
Espada-de-sao-jorge,64.0,Alta,Meia-sombra,0,1
Orquidea,78.0,Baixa,Sol-pleno,1,1
Orquidea,41.0,Media,Meia-sombra,1,0
Suculenta,52.0,Media,Sombra,0,1
Cacto,,Media,Meia-sombra,1,1
Samambaia,55.0,Baixa,,0,1
Espada-de-sao-jorge,29.0,Alta,Sombra,1,0
Orquidea,54.0,Baixa,Sol-pleno,0,1
Ficus,,Alta,Meia-sombra,1,1
Orquidea,61.0,Media,Sombra,0,1
Ficus,70.0,Media,Meia-sombra,0,1
Orquidea,34.0,Baixa,Sol-pleno,0,1
Orquidea,27.0,Media,Sol-pleno,0,1
Ficus,7.0,Alta,Sombra,0,1
Cacto,45.0,Alta,,1,0
Ficus,38.0,Alta,Meia-sombra,0,1
Suculenta,19.0,Baixa,Meia-sombra,1,1
Espada-de-sao-jorge,59.0,Media,Sombra,0,1
Ficus,41.0,Media,Sol-pleno,0,1
Cacto,28.0,Alta,Sol-pleno,1,1
Espada-de-sao-jorge,39.0,Alta,Sombra,1,1
Samambaia,71.0,Alta,Meia-sombra,0,1
Ficus,62.0,Baixa,Sol-pleno,1,1
Cacto,47.0,Baixa,Meia-sombra,1,1
Suculenta,62.0,Alta,Sombra,0,1
Suculenta,27.0,Alta,Sol-pleno,1,1
Samambaia,51.0,Media,Sombra,1,1
Espada-de-sao-jorge,53.0,Baixa,Meia-sombra,0,1
Suculenta,41.0,Baixa,Meia-sombra,0,1
Samambaia,59.0,Alta,,0,1
Espada-de-sao-jorge,34.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,60.0,Media,Sol-pleno,1,1
Cacto,61.0,Alta,Sol-pleno,1,0
Ficus,5.0,Baixa,Sol-pleno,0,1
Suculenta,74.0,Alta,Sol-pleno,0,0
Suculenta,5.0,Baixa,Sol-pleno,0,1
Ficus,38.0,Alta,Sol-pleno,0,1
Suculenta,71.0,Alta,Sol-pleno,1,1
Espada-de-sao-jorge,44.0,Media,Meia-sombra,0,1
Ficus,21.0,Baixa,Sombra,0,0
Orquidea,28.0,Baixa,Sombra,0,1
Ficus,71.0,Baixa,Sol-pleno,0,1
Orquidea,12.0,Alta,Sombra,1,0
Cacto,,Baixa,Sol-pleno,1,1
Ficus,49.0,Media,Sol-pleno,0,1
Espada-de-sao-jorge,26.0,Media,,0,1
Ficus,38.0,Alta,Sol-pleno,0,0
Suculenta,30.0,Alta,Sombra,0,1
Samambaia,67.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,65.0,Alta,Sol-pleno,0,1
Orquidea,16.0,Media,Sol-pleno,1,0
Orquidea,42.0,Media,Sombra,0,1
Cacto,33.0,Baixa,Sol-pleno,0,1
Cacto,,Baixa,Meia-sombra,0,1
Suculenta,23.0,Media,Sol-pleno,1,0
Orquidea,82.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,49.0,Baixa,Meia-sombra,0,1
Ficus,27.0,Media,Sombra,1,1
Suculenta,36.0,Media,Meia-sombra,0,1
Ficus,34.0,Alta,Sol-pleno,1,0
Samambaia,25.0,Alta,Sol-pleno,0,1
Orquidea,52.0,Alta,Sombra,1,0
Samambaia,25.0,Baixa,Sombra,1,1
Orquidea,6.0,Media,Sol-pleno,0,1
Cacto,42.0,Alta,,0,1
Samambaia,14.0,Media,Sol-pleno,0,1
Cacto,35.0,Media,Sombra,1,1
Suculenta,32.0,Media,Meia-sombra,1,0
Orquidea,33.0,Media,Sombra,1,1
Suculenta,90.0,Media,Sol-pleno,1,1
Espada-de-sao-jorge,51.0,Baixa,Sol-pleno,0,1
Espada-de-sao-jorge,55.0,Media,Sombra,0,1
Orquidea,14.0,Baixa,,0,1
Suculenta,37.0,Alta,Sol-pleno,1,0
Samambaia,54.0,Alta,Sombra,1,1
Cacto,30.0,Media,Sol-pleno,0,1
Ficus,68.0,Media,Sol-pleno,0,1
Cacto,,Alta,,0,1
Espada-de-sao-jorge,44.0,Media,Sombra,1,1
Cacto,38.0,Media,Sol-pleno,1,0
Ficus,53.0,Baixa,Sombra,0,1
Suculenta,37.0,Baixa,Meia-sombra,0,1
Espada-de-sao-jorge,45.0,Baixa,Sombra,0,1
Espada-de-sao-jorge,45.0,Baixa,Meia-sombra,0,1
Samambaia,35.0,Alta,,1,1
Cacto,60.0,Media,Sol-pleno,0,1
Suculenta,55.0,Alta,Sol-pleno,0,1
Samambaia,48.0,Media,Meia-sombra,0,1
Samambaia,41.0,Alta,Meia-sombra,0,1
Samambaia,66.0,Media,Meia-sombra,1,1
Espada-de-sao-jorge,45.0,Media,Sol-pleno,0,1
Orquidea,44.0,Alta,Sombra,0,1
Espada-de-sao-jorge,52.0,Media,Sombra,0,1
Orquidea,84.0,Baixa,Meia-sombra,1,0
Espada-de-sao-jorge,23.0,Media,Sol-pleno,1,0
Ficus,65.0,Media,Sol-pleno,0,0
Espada-de-sao-jorge,12.0,Media,Sombra,0,1
Ficus,54.0,Alta,Sombra,0,1
Cacto,82.0,Alta,Meia-sombra,0,1
Suculenta,60.0,Media,Meia-sombra,0,1
Cacto,53.0,Baixa,Meia-sombra,1,1
Ficus,39.0,Media,Sombra,1,1
Samambaia,51.0,Alta,,0,1
Orquidea,45.0,Baixa,Sol-pleno,0,1
Samambaia,34.0,Alta,Sol-pleno,0,1
Samambaia,44.0,Media,Meia-sombra,0,1
Espada-de-sao-jorge,54.0,Alta,Sombra,0,1
Ficus,35.0,Alta,Meia-sombra,0,1
Espada-de-sao-jorge,34.0,Alta,Sombra,1,1
Espada-de-sao-jorge,23.0,Alta,Sombra,0,1
Suculenta,58.0,Baixa,Meia-sombra,1,1
Ficus,61.0,Media,Meia-sombra,0,1
Ficus,55.0,Baixa,Sombra,0,1
Samambaia,69.0,Baixa,Sol-pleno,0,0
Suculenta,52.0,Baixa,Sombra,1,1
Ficus,,Alta,Meia-sombra,0,1
Cacto,56.0,Media,Meia-sombra,0,1
Ficus,48.0,Alta,Meia-sombra,1,0
Suculenta,39.0,Baixa,Sol-pleno,1,1
Ficus,94.0,Baixa,Sol-pleno,0,1
Orquidea,41.0,Alta,Sol-pleno,0,0
Ficus,37.0,Alta,Meia-sombra,0,1
Samambaia,59.0,Alta,Sombra,1,1
Samambaia,55.0,Baixa,Meia-sombra,0,1
Orquidea,22.0,Media,Meia-sombra,0,1
Ficus,72.0,Baixa,Meia-sombra,0,1
Cacto,48.0,Alta,Meia-sombra,0,1
Suculenta,28.0,Baixa,Sombra,1,1
Suculenta,74.0,Alta,Meia-sombra,1,0
Orquidea,63.0,Baixa,Sol-pleno,0,0
Orquidea,25.0,Baixa,Meia-sombra,1,0
Cacto,86.0,Alta,Sol-pleno,0,1
Orquidea,63.0,Media,Sol-pleno,0,1
Samambaia,50.0,Media,Sol-pleno,0,1
