idade,renda,tempo_emprego,score_credito,cidade,aprovado
38.0,6340.92,9.0,742.0,SP,1
,1975.76,5.0,458.0,SP,0
,5735.2,5.0,587.0,Outra,0
,2568.09,11.0,515.0,Outra,0
37.0,4073.53,14.0,584.0,SP,0
,1852.32,16.0,670.0,Outra,1
37.0,6617.13,14.0,636.0,SP,1
18.0,3246.03,6.0,630.0,Outra,0
21.0,,9.0,637.0,Outra,1
22.0,9863.54,11.0,666.0,SP,1
26.0,,8.0,569.0,MG,0
,3017.08,8.0,707.0,Outra,1
27.0,2651.95,11.0,703.0,Outra,1
33.0,2991.42,7.0,681.0,Outra,1
54.0,4356.63,3.0,695.0,RJ,0
34.0,3303.21,5.0,674.0,SP,1
,2899.06,10.0,813.0,Outra,1
27.0,6702.47,7.0,643.0,,1
36.0,3289.88,9.0,625.0,RJ,1
27.0,9747.98,10.0,590.0,SP,1
34.0,3607.73,5.0,567.0,RJ,0
48.0,7734.09,11.0,550.0,SP,0
18.0,4067.54,9.0,579.0,MG,0
43.0,,1.0,644.0,SP,1
41.0,2499.7,14.0,677.0,MG,1
31.0,2358.56,4.0,654.0,Outra,1
21.0,,0.0,589.0,RJ,0
39.0,5403.75,2.0,722.0,,1
,3526.69,2.0,709.0,SP,1
41.0,1941.32,7.0,637.0,Outra,0
38.0,1877.85,6.0,598.0,MG,0
57.0,1822.18,5.0,694.0,SP,1
35.0,1563.32,10.0,665.0,SP,1
26.0,3638.29,9.0,534.0,SP,0
40.0,5746.06,9.0,645.0,RJ,1
41.0,3442.53,9.0,671.0,Outra,1
54.0,1252.4,10.0,578.0,MG,0
48.0,3178.48,0.0,665.0,SP,0
42.0,,5.0,534.0,Outra,0
56.0,8894.6,0.0,757.0,SP,1
24.0,1797.74,7.0,750.0,Outra,0
30.0,2905.02,7.0,630.0,SP,1
27.0,7462.41,12.0,679.0,RJ,1
33.0,4240.73,13.0,457.0,,0
21.0,4462.62,8.0,557.0,SP,0
46.0,3646.65,4.0,626.0,MG,0
,,9.0,564.0,Outra,0
20.0,4914.4,4.0,707.0,SP,1
,2406.02,7.0,810.0,SP,1
42.0,5141.63,12.0,556.0,MG,0
48.0,,4.0,583.0,SP,0
62.0,4014.89,11.0,669.0,SP,1
73.0,3753.46,10.0,779.0,,1
43.0,2624.56,2.0,552.0,MG,0
26.0,3428.2,12.0,670.0,SP,0
18.0,2617.19,10.0,796.0,SP,1
41.0,2138.23,8.0,518.0,Outra,0
28.0,2953.88,3.0,548.0,RJ,0
33.0,2107.39,3.0,616.0,Outra,0
31.0,,4.0,608.0,RJ,1
36.0,2064.12,10.0,715.0,Outra,1
51.0,4771.37,2.0,669.0,MG,1
40.0,2035.17,9.0,508.0,SP,0
36.0,2684.28,1.0,691.0,Outra,0
26.0,2614.76,6.0,604.0,RJ,1
18.0,6287.48,8.0,752.0,SP,1
32.0,4018.37,19.0,600.0,SP,0
,3148.62,0.0,599.0,MG,1
59.0,4334.77,14.0,693.0,SP,1
40.0,,8.0,711.0,SP,1
50.0,3396.8,9.0,686.0,SP,1
32.0,8509.01,8.0,515.0,,0
,3675.91,9.0,693.0,SP,1
26.0,3570.86,6.0,567.0,RJ,0
29.0,4432.23,14.0,669.0,SP,1
64.0,5182.39,5.0,536.0,SP,0
28.0,1409.71,13.0,686.0,,1
48.0,1624.5,4.0,585.0,SP,0
27.0,3807.13,7.0,547.0,MG,0
49.0,2510.67,2.0,707.0,SP,0
43.0,6250.47,9.0,669.0,SP,1
36.0,3005.42,14.0,601.0,SP,0
38.0,1450.21,7.0,766.0,RJ,1
30.0,,6.0,615.0,SP,0
43.0,1004.9,1.0,653.0,Outra,0
33.0,3117.05,6.0,672.0,SP,1
23.0,3181.88,0.0,600.0,RJ,0
23.0,2861.19,2.0,688.0,RJ,1
40.0,5627.92,8.0,607.0,SP,0
,5939.22,14.0,617.0,RJ,1
40.0,25664.69,21.0,759.0,SP,1
37.0,1325.29,4.0,567.0,RJ,0
,44000.23,14.0,457.0,SP,0
54.0,4446.68,8.0,779.0,MG,1
41.0,3980.75,6.0,850.0,Outra,1
33.0,5386.58,9.0,618.0,SP,0
,2050.48,7.0,495.0,RJ,0
43.0,8552.17,8.0,625.0,MG,1
56.0,2249.04,5.0,627.0,SP,0
40.0,4852.02,0.0,635.0,MG,0
23.0,1620.83,0.0,561.0,,0
22.0,2278.75,10.0,696.0,Outra,1
58.0,6852.48,6.0,692.0,Outra,1
59.0,3079.72,4.0,530.0,SP,0
36.0,5054.15,7.0,706.0,RJ,1
33.0,,11.0,814.0,RJ,1
56.0,3303.6,8.0,664.0,SP,0
25.0,,4.0,623.0,SP,0
27.0,3113.5,13.0,639.0,Outra,1
,1554.12,15.0,699.0,SP,1
33.0,2412.8,9.0,512.0,,0
38.0,4438.34,12.0,663.0,Outra,1
36.0,4138.05,13.0,619.0,SP,1
42.0,1710.98,13.0,798.0,RJ,1
,2500.0,10.0,636.0,Outra,0
39.0,2665.71,10.0,783.0,RJ,1
46.0,2938.16,10.0,562.0,SP,0
18.0,1864.67,2.0,697.0,SP,0
37.0,2610.33,11.0,676.0,Outra,1
28.0,2495.2,0.0,580.0,,0
23.0,4900.98,3.0,664.0,RJ,1
27.0,4984.58,14.0,747.0,SP,1
34.0,,11.0,624.0,,0
49.0,2903.24,14.0,515.0,Outra,0
22.0,,6.0,649.0,RJ,0
38.0,2398.36,1.0,578.0,Outra,0
32.0,2067.15,6.0,623.0,SP,0
34.0,2268.56,8.0,643.0,RJ,0
50.0,2602.78,7.0,514.0,Outra,0
44.0,2051.73,13.0,521.0,RJ,0
,3725.39,5.0,689.0,SP,1
36.0,,9.0,608.0,Outra,1
30.0,1695.62,2.0,445.0,,0
35.0,3502.76,9.0,713.0,,1
,3137.02,7.0,672.0,Outra,1
40.0,4038.7,3.0,593.0,SP,0
25.0,3443.27,6.0,545.0,SP,0
39.0,1800.61,6.0,717.0,SP,1
,1962.4,6.0,678.0,SP,1
68.0,3509.54,16.0,841.0,SP,1
61.0,5502.46,7.0,684.0,MG,1
28.0,1278.72,6.0,681.0,SP,0
35.0,4046.38,0.0,637.0,MG,0
20.0,5915.49,3.0,715.0,SP,1
31.0,3232.91,6.0,700.0,SP,0
42.0,4436.37,4.0,750.0,SP,1
52.0,2524.05,14.0,608.0,MG,0
29.0,3282.25,6.0,615.0,RJ,0
,1670.02,13.0,612.0,SP,0
,1205.98,7.0,713.0,,0
36.0,5293.55,7.0,770.0,RJ,1
25.0,2223.31,7.0,613.0,SP,0
32.0,2821.47,7.0,616.0,Outra,0
27.0,1855.86,16.0,675.0,SP,1
,1836.31,0.0,630.0,SP,0
18.0,3202.78,0.0,726.0,RJ,1
20.0,2494.12,4.0,470.0,SP,0
64.0,4105.52,7.0,584.0,SP,0
,4245.62,10.0,587.0,MG,0
25.0,4001.33,9.0,464.0,SP,0
60.0,3855.94,5.0,573.0,Outra,0
73.0,7044.45,12.0,577.0,Outra,0
24.0,2142.19,12.0,634.0,RJ,0
34.0,3378.81,8.0,739.0,MG,1
42.0,5765.86,12.0,630.0,MG,1
59.0,6118.32,8.0,568.0,Outra,0
26.0,1826.59,4.0,645.0,SP,0
35.0,3009.23,10.0,734.0,SP,1
47.0,6381.47,8.0,572.0,RJ,0
43.0,4353.07,7.0,577.0,RJ,0
33.0,3781.47,14.0,695.0,SP,1
36.0,3140.2,0.0,632.0,RJ,0
22.0,2914.02,0.0,702.0,SP,1
35.0,3943.01,1.0,649.0,Outra,0
35.0,3091.56,5.0,706.0,SP,1
41.0,3397.65,6.0,567.0,,0
31.0,3588.07,0.0,649.0,SP,0
44.0,2552.6,2.0,633.0,SP,0
50.0,4400.43,3.0,553.0,SP,0
40.0,,19.0,525.0,SP,1
42.0,1556.75,16.0,705.0,SP,0
39.0,4007.03,5.0,622.0,SP,0
38.0,2459.99,5.0,568.0,SP,0
29.0,4491.0,1.0,642.0,SP,1
42.0,3536.71,0.0,740.0,SP,1
37.0,,6.0,468.0,SP,0
63.0,,2.0,530.0,SP,0
,3776.64,7.0,576.0,SP,0
43.0,5764.21,0.0,767.0,SP,1
29.0,1206.0,3.0,673.0,MG,0
25.0,7084.78,8.0,711.0,Outra,1
52.0,4100.15,9.0,559.0,Outra,0
41.0,5625.3,9.0,560.0,RJ,0
44.0,,0.0,686.0,RJ,1
18.0,2383.09,11.0,655.0,SP,0
49.0,3698.46,3.0,694.0,MG,1
43.0,3436.93,10.0,635.0,MG,0
25.0,3933.88,7.0,672.0,Outra,1
,5642.21,0.0,663.0,,1
41.0,1565.02,5.0,712.0,RJ,1
39.0,,9.0,715.0,MG,1
34.0,3476.31,10.0,520.0,Outra,0
37.0,3159.91,6.0,470.0,SP,0
35.0,1786.47,15.0,730.0,Outra,1
40.0,4343.22,12.0,745.0,SP,1
56.0,1168.7,6.0,568.0,Outra,0
18.0,4636.79,11.0,501.0,MG,0
35.0,1769.68,17.0,658.0,,1
40.0,3547.7,17.0,724.0,MG,1
42.0,3282.54,1.0,794.0,SP,1
34.0,5862.27,2.0,691.0,MG,1
18.0,,14.0,620.0,MG,0
42.0,2534.21,2.0,579.0,RJ,0
59.0,2757.36,0.0,651.0,,0
20.0,6141.33,5.0,626.0,,0
48.0,4408.69,9.0,569.0,SP,0
34.0,2911.62,6.0,814.0,SP,1
37.0,3113.8,4.0,793.0,SP,1
25.0,1710.89,4.0,741.0,RJ,1
34.0,4124.97,3.0,576.0,SP,0
54.0,,3.0,718.0,SP,0
45.0,4857.64,18.0,701.0,RJ,1
59.0,,8.0,685.0,Outra,1
52.0,10138.83,11.0,750.0,SP,1
43.0,2111.05,5.0,701.0,Outra,1
59.0,3307.02,6.0,709.0,,1
,,3.0,701.0,SP,1
,5920.2,0.0,677.0,RJ,1
34.0,2531.85,0.0,507.0,SP,0
39.0,3830.63,0.0,657.0,SP,0
30.0,3466.5,0.0,606.0,RJ,0
50.0,,1.0,548.0,SP,0
24.0,2529.04,14.0,785.0,SP,1
47.0,3326.93,7.0,788.0,RJ,1
36.0,1687.29,13.0,759.0,SP,1
52.0,3680.51,9.0,670.0,Outra,0
47.0,4240.81,11.0,758.0,,1
60.0,3126.47,2.0,651.0,Outra,0
47.0,,10.0,666.0,MG,0
19.0,5403.7,11.0,563.0,Outra,0
37.0,4080.75,4.0,682.0,Outra,1
24.0,,10.0,655.0,SP,1
32.0,,10.0,546.0,RJ,0
56.0,1762.87,4.0,646.0,SP,0
46.0,2183.24,1.0,644.0,Outra,0
30.0,2718.91,1.0,794.0,,1
26.0,6019.68,7.0,722.0,SP,1
38.0,2597.29,9.0,651.0,Outra,1
23.0,4619.75,3.0,670.0,SP,0
30.0,2718.29,7.0,654.0,RJ,0
42.0,3872.19,10.0,634.0,MG,0
52.0,3249.88,10.0,563.0,SP,0
45.0,5130.07,15.0,638.0,RJ,1
18.0,2722.58,13.0,590.0,Outra,0
42.0,1706.78,2.0,550.0,,0
39.0,1859.61,15.0,691.0,RJ,0
43.0,2726.18,4.0,681.0,SP,1
57.0,1974.21,12.0,507.0,MG,0
18.0,4165.52,7.0,640.0,SP,0
31.0,,5.0,730.0,Outra,1
45.0,10082.67,0.0,735.0,Outra,1
19.0,1584.51,6.0,732.0,SP,1
56.0,3795.74,0.0,653.0,SP,1
42.0,2084.79,12.0,582.0,RJ,0
48.0,,15.0,563.0,MG,0
31.0,3690.95,3.0,678.0,RJ,1
48.0,1216.32,9.0,680.0,SP,1
51.0,3852.86,3.0,753.0,SP,1
41.0,8154.36,4.0,738.0,Outra,1
41.0,2824.12,11.0,639.0,,0
41.0,3892.92,7.0,550.0,Outra,0
28.0,5492.92,16.0,624.0,RJ,1
36.0,3217.05,5.0,667.0,Outra,0
36.0,2666.62,12.0,634.0,SP,1
43.0,1243.79,7.0,604.0,SP,0
,4621.37,11.0,670.0,Outra,0
25.0,3291.42,5.0,610.0,Outra,0
36.0,2195.78,7.0,600.0,SP,0
56.0,3666.41,6.0,675.0,SP,1
29.0,2663.36,3.0,618.0,RJ,0
28.0,2730.41,10.0,670.0,SP,1
40.0,4549.77,10.0,672.0,SP,1
48.0,1896.43,10.0,559.0,Outra,0
38.0,5548.55,15.0,612.0,SP,1
54.0,1846.49,14.0,765.0,MG,1
48.0,2570.32,5.0,557.0,SP,0
48.0,8228.23,9.0,481.0,SP,0
45.0,5752.04,4.0,501.0,MG,0
66.0,3618.89,7.0,652.0,SP,0
36.0,2268.24,4.0,652.0,MG,1
,2729.37,15.0,641.0,SP,0
57.0,3579.48,9.0,747.0,Outra,1
33.0,3522.36,6.0,436.0,MG,0
39.0,3324.61,13.0,682.0,Outra,1
54.0,3415.66,0.0,775.0,SP,1
19.0,3144.88,0.0,560.0,SP,0
23.0,1810.05,11.0,620.0,,1
19.0,2745.09,7.0,590.0,RJ,0
28.0,5226.94,8.0,578.0,SP,0
43.0,1871.04,0.0,624.0,SP,0
44.0,3180.2,7.0,764.0,SP,1
,2394.93,17.0,797.0,SP,1
21.0,3641.34,11.0,623.0,SP,1
18.0,2907.69,8.0,802.0,SP,1
39.0,6733.34,5.0,653.0,SP,1
32.0,4350.14,5.0,790.0,RJ,1
44.0,1919.25,0.0,643.0,SP,0
46.0,4684.68,8.0,660.0,SP,0
40.0,2444.04,11.0,679.0,RJ,1
47.0,2671.38,0.0,850.0,MG,1
41.0,3988.69,4.0,718.0,SP,1
44.0,2775.85,1.0,593.0,RJ,0
30.0,5175.99,2.0,728.0,Outra,1
36.0,2444.19,7.0,621.0,RJ,0
40.0,2621.43,0.0,611.0,Outra,0
48.0,2577.65,10.0,723.0,MG,1
33.0,2685.07,11.0,652.0,SP,0
44.0,5679.6,6.0,672.0,RJ,1
35.0,4596.08,0.0,651.0,MG,0
37.0,7476.16,2.0,677.0,Outra,0
48.0,,13.0,684.0,RJ,1
18.0,2178.03,0.0,495.0,SP,0
22.0,3574.89,5.0,703.0,RJ,1
20.0,2040.01,1.0,571.0,SP,0
18.0,2440.79,11.0,535.0,MG,0
30.0,2608.32,4.0,645.0,RJ,0
47.0,2152.27,9.0,657.0,MG,0
35.0,2157.38,10.0,595.0,Outra,0
40.0,3245.65,16.0,716.0,RJ,1
51.0,2003.15,6.0,543.0,RJ,0
54.0,5059.17,9.0,617.0,MG,1
,2291.61,0.0,603.0,Outra,0
54.0,12262.56,13.0,646.0,Outra,1
39.0,2826.73,3.0,672.0,SP,0
28.0,,4.0,569.0,RJ,0
31.0,1933.52,7.0,708.0,SP,1
20.0,7463.21,0.0,655.0,,1
,5731.75,8.0,499.0,,0
34.0,3958.47,12.0,493.0,RJ,0
48.0,1889.26,8.0,649.0,SP,0
,3807.77,0.0,632.0,SP,0
21.0,2090.91,6.0,642.0,MG,0
43.0,6687.93,11.0,648.0,SP,1
26.0,4984.75,0.0,668.0,SP,1
44.0,3615.36,2.0,726.0,Outra,1
36.0,1157.05,11.0,561.0,MG,0
18.0,2224.89,8.0,556.0,SP,0
49.0,4719.66,9.0,563.0,SP,0
31.0,5977.74,16.0,673.0,,1
32.0,5705.16,9.0,750.0,MG,1
25.0,1691.88,10.0,615.0,RJ,0
30.0,,21.0,450.0,SP,0
43.0,5469.72,6.0,514.0,SP,1
36.0,1642.13,3.0,583.0,SP,0
42.0,3451.08,9.0,605.0,,1
,3917.58,9.0,617.0,SP,1
54.0,3024.97,4.0,653.0,SP,1
34.0,1504.97,2.0,625.0,MG,0
20.0,2991.22,19.0,734.0,Outra,1
51.0,2989.05,9.0,596.0,MG,0
34.0,3240.13,3.0,581.0,RJ,0
51.0,2687.69,12.0,688.0,RJ,1
43.0,2837.4,6.0,527.0,RJ,0
