cliente_id,renda_anual,compras_mes,ticket_medio,tempo_site_min,taxa_cliques_pct,perfil_referencia
CLI148,106750,6.4,234.9,42.1,42.3,alto_engajamento
CLI109,141852,4.3,242.78,46.8,35.3,alto_engajamento
CLI068,70289,10.6,130.05,15.6,24.8,recorrente
CLI034,31402,3.1,59.88,35.5,11.3,explorador
CLI142,131242,4.1,219.15,47.4,46.6,alto_engajamento
CLI106,167380,4.7,177.02,49.2,40.9,alto_engajamento
CLI102,47490,4.9,211.85,51.1,38.5,alto_engajamento
CLI095,29087,10.2,121.47,18.7,19.8,recorrente
CLI079,92709,7.7,132.89,14,26.2,recorrente
CLI103,25225,5.4,232.9,38.4,37.5,alto_engajamento
CLI113,100769,4,187.81,40.3,36.1,alto_engajamento
CLI042,67917,3.5,79.76,32.5,13.8,explorador
CLI030,94762,2.4,78.67,32.5,11.5,explorador
CLI098,39493,6.7,127.11,18.4,23.9,recorrente
CLI128,165047,6.9,196.54,43.6,42.2,alto_engajamento
CLI115,29989,5.8,181.27,40.4,38.7,alto_engajamento
CLI107,155417,4.8,210.74,54.2,34.9,alto_engajamento
CLI036,32313,2.3,87.95,20.8,9.4,explorador
CLI063,43176,9.4,137.32,20.5,25.2,recorrente
CLI080,108712,9.7,100.49,16.6,22.4,recorrente
CLI026,69576,1.7,80.95,31.1,10.2,explorador
CLI008,61156,1.8,103.09,31.5,12.7,explorador
CLI127,87809,5.1,192.66,42.3,48,alto_engajamento
CLI083,171499,7.8,131.05,23.1,26.6,recorrente
CLI137,99279,4.4,188.73,43.9,44.6,alto_engajamento
CLI005,98422,3.2,103.78,31.8,13.7,explorador
CLI090,97332,9.6,132.72,16.8,28.2,recorrente
CLI105,139564,6.3,235.49,51.6,37.6,alto_engajamento
CLI077,114998,9.6,131.93,12.3,23.4,recorrente
CLI082,60668,9.6,143.15,18,23.6,recorrente
CLI085,83311,8.4,143.07,15.6,21,recorrente
CLI024,169548,2.2,68.78,36.7,14.9,explorador
CLI043,178679,2.9,76.43,29.1,9.7,explorador
CLI045,25877,1.4,82.36,29.4,8.2,explorador
CLI074,109701,8.7,148.84,17.5,30,recorrente
CLI028,167909,3.3,84.44,34.2,14.6,explorador
CLI072,97390,8.6,131.26,18.5,27.1,recorrente
CLI047,64553,1.5,67.44,34,14.7,explorador
CLI073,124647,8.4,159.89,14.8,26.2,recorrente
CLI054,59777,11.1,157.48,17.7,24,recorrente
CLI139,161077,4,212.15,36.5,38.9,alto_engajamento
CLI070,43060,7.2,134.86,17.3,25.2,recorrente
CLI093,164468,7.1,132.55,19.3,26.3,recorrente
CLI064,105438,8.3,126.13,17.9,26.1,recorrente
CLI119,98028,6.1,208.8,43.2,47.1,alto_engajamento
CLI007,41592,2.8,62.66,30.4,8.3,explorador
CLI099,141727,11.1,142.57,17.1,25.2,recorrente
CLI027,118735,3.4,80.98,35.1,12.8,explorador
CLI025,172403,2.8,77.88,29.5,10.6,explorador
CLI009,147926,1.1,66.97,28.9,9.3,explorador
CLI130,46621,6.3,217.66,43.7,47.1,alto_engajamento
CLI146,42410,5.7,187.09,48.8,43.7,alto_engajamento
CLI052,92184,5.8,144.03,16.4,26.3,recorrente
CLI135,99734,6.3,220.42,50,36.7,alto_engajamento
CLI006,109479,1.1,85.77,26.5,9.6,explorador
CLI033,164236,2.1,60.72,34.5,15.7,explorador
CLI110,86595,6.2,232.91,48.4,35.3,alto_engajamento
CLI131,103268,5.2,223.28,48.4,39.3,alto_engajamento
CLI015,76352,1.5,59.43,29.1,11.8,explorador
CLI020,69233,2.2,81.19,31.7,11.1,explorador
CLI023,83051,2.5,73.62,29.6,11.4,explorador
CLI118,48544,5.5,200.37,51.3,33.3,alto_engajamento
CLI060,129295,9.4,138.04,19.5,20.2,recorrente
CLI100,179911,8.4,134.28,14.4,25.4,recorrente
CLI091,36692,10.5,119.99,19.6,22.4,recorrente
CLI101,151716,5.7,185.71,46.7,39.7,alto_engajamento
CLI051,131984,10.5,107.58,13.4,22.9,recorrente
CLI134,61197,5.4,207.15,39.6,42.1,alto_engajamento
CLI055,72282,9.2,132.06,19,25,recorrente
CLI040,94425,1.8,86.85,32.8,14.6,explorador
CLI061,151605,6.3,130.12,14.5,27.4,recorrente
